NAME,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area
"Carlsbad-Artesia, NM Micro Area",0.2,1.2,0.3,91.2,0.8,6.2,16100
"Carroll, IA Micro Area",0.0,1.6,0.5,90.7,0.7,6.5,16140
"Carson City, NV Metro Area",0.2,1.8,1.5,86.5,1.5,8.5,16180
"Casper, WY Metro Area",0.2,1.6,0.7,87.5,0.8,9.2,16220
"Cedar City, UT Micro Area",0.2,2.3,0.1,85.3,1.1,11.0,16260
"Cedar Rapids, IA Metro Area",0.2,1.9,0.5,83.3,0.8,13.3,16300
"Cedartown, GA Micro Area",0.1,1.1,0.5,91.9,1.6,4.8,16340
"Celina, OH Micro Area",0.3,1.6,0.1,93.8,0.4,3.7,16380
"Centralia, IL Micro Area",0.3,1.5,0.2,92.3,0.6,5.1,16460
"Centralia, WA Micro Area",0.1,3.8,0.5,85.7,1.3,8.6,16500
"Chambersburg, PA Metro Area",0.2,3.0,0.2,86.4,1.3,8.9,16540
"Champaign-Urbana, IL Metro Area",1.3,6.5,3.3,75.6,0.9,12.5,16580
"Charleston, WV Metro Area",0.1,3.0,1.6,86.3,1.1,8.0,16620
"Charleston-Mattoon, IL Micro Area",1.4,5.3,0.0,86.1,1.0,6.2,16660
"Charleston-North Charleston, SC Metro Area",0.5,1.7,0.6,83.1,1.2,12.9,16700
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.1,1.2,1.0,77.4,1.2,19.0,16740
"Charlottesville, VA Metro Area",0.9,4.4,2.1,72.7,1.3,18.7,16820
"Chattanooga, TN-GA Metro Area",0.2,1.4,0.5,85.0,1.0,12.0,16860
"Cheyenne, WY Metro Area",0.4,0.9,0.3,89.2,0.8,8.4,16940
"Chicago-Naperville-Elgin, IL-IN Metro Area",0.6,2.8,8.2,71.3,1.5,15.6,16980
"Chico, CA Metro Area",1.3,2.9,0.7,82.3,1.5,11.3,17020
"Chillicothe, OH Micro Area",0.0,1.3,0.1,93.6,0.4,4.6,17060
"Cincinnati, OH-KY-IN Metro Area",0.2,1.8,1.3,82.7,1.1,12.9,17140
"Clarksburg, WV Micro Area",0.4,2.8,0.1,88.9,1.1,6.8,17220
"Clarksdale, MS Micro Area",0.1,1.6,0.2,88.2,0.2,9.7,17260
"Clarksville, TN-KY Metro Area",0.2,2.4,0.4,89.1,1.5,6.5,17300
"Clearlake, CA Micro Area",0.4,2.8,0.8,79.1,1.1,15.8,17340
"Cleveland, MS Micro Area",0.0,1.9,0.0,95.3,0.7,2.1,17380
"Cleveland, OH Metro Area",0.2,2.1,2.1,81.8,1.3,12.6,17410
"Cleveland, TN Metro Area",0.1,1.4,0.0,89.3,0.6,8.6,17420
"Clewiston, FL Micro Area",1.2,2.9,2.5,84.7,3.5,5.2,17500
"Clinton, IA Micro Area",0.2,2.0,0.4,89.7,1.8,6.0,17540
"Clovis, NM Micro Area",0.4,2.9,0.2,92.6,0.5,3.4,17580
"Coamo, PR Micro Area",0.4,2.8,0.0,92.4,0.0,4.4,17620
"Coco, PR Micro Area",1.1,0.8,0.0,92.3,0.1,5.7,17640
"Cody, WY Micro Area",0.2,5.1,0.1,83.9,0.7,10.1,17650
"Coeur d'Alene, ID Metro Area",0.4,1.6,0.4,82.7,0.9,14.0,17660
"Coldwater, MI Micro Area",0.2,1.8,0.2,91.1,1.7,5.0,17740
"College Station-Bryan, TX Metro Area",1.0,2.1,1.3,84.5,1.3,9.7,17780
"Colorado Springs, CO Metro Area",0.4,3.3,0.3,79.5,1.1,15.4,17820
"Columbia, MO Metro Area",0.7,3.8,0.8,84.8,1.0,8.9,17860
"Columbia, SC Metro Area",0.1,3.5,0.5,84.3,1.7,9.9,17900
"Columbus, GA-AL Metro Area",0.2,2.6,0.9,85.6,1.8,8.8,17980
"Columbus, IN Metro Area",0.3,1.0,0.5,85.5,0.7,11.9,18020
"Columbus, MS Micro Area",0.1,1.5,0.0,93.0,0.6,4.8,18060
"Columbus, NE Micro Area",0.3,3.8,0.0,90.4,1.2,4.4,18100
"Columbus, OH Metro Area",0.2,1.9,1.2,79.1,1.0,16.6,18140
"Concord, NH Micro Area",0.3,2.7,0.3,82.7,0.9,13.1,18180
"Connersville, IN Micro Area",0.0,2.1,0.1,92.4,0.7,4.7,18220
"Cookeville, TN Micro Area",0.0,1.5,0.1,90.4,0.4,7.6,18260
"Coos Bay-North Bend, OR Micro Area",0.3,2.8,0.0,86.7,2.6,7.5,18300
"Corbin, KY Micro Area",0.1,1.4,0.2,89.6,0.9,7.9,18340
"Cordele, GA Micro Area",1.3,0.3,0.0,88.9,1.9,7.6,18380
"Corinth, MS Micro Area",0.0,1.9,0.1,94.0,1.5,2.5,18420
"Cornelia, GA Micro Area",0.0,0.7,0.2,89.9,0.6,8.6,18460
"Corning, NY Micro Area",0.6,4.1,0.5,86.3,0.7,7.9,18500
"Corpus Christi, TX Metro Area",0.2,1.3,1.0,90.5,1.4,5.5,18580
"Corsicana, TX Micro Area",0.0,1.4,0.0,91.8,0.6,6.3,18620
"Cortland, NY Micro Area",0.4,5.1,1.0,85.1,1.2,7.1,18660
"Corvallis, OR Metro Area",4.8,7.4,1.9,67.7,1.5,16.7,18700
"Coshocton, OH Micro Area",1.8,1.3,0.1,86.8,3.8,6.1,18740
"Crawfordsville, IN Micro Area",0.2,3.5,0.1,88.7,0.4,7.0,18820
"Crescent City, CA Micro Area",0.1,3.7,0.4,86.8,1.5,7.5,18860
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.6,1.7,0.3,85.6,1.3,10.7,18880
"Crossville, TN Micro Area",0.2,1.5,0.3,89.3,0.6,8.1,18900
"Cullman, AL Micro Area",0.0,1.5,0.2,94.8,0.2,3.4,18980
"Cumberland, MD-WV Micro Area",0.1,2.4,0.7,87.3,0.6,8.9,19060
"Dallas-Fort Worth-Arlington, TX Metro Area",0.1,1.2,0.8,80.6,1.3,15.9,19100
"Dalton, GA Metro Area",0.0,0.4,0.2,93.7,1.1,4.6,19140
"Danville, IL Micro Area",0.0,2.2,0.6,89.1,0.6,7.5,19180
"Danville, KY Micro Area",0.0,3.1,0.2,87.4,0.4,8.9,19220
"Danville, VA Micro Area",0.1,1.3,0.9,90.5,1.3,6.0,19260
"Daphne-Fairhope-Foley, AL Metro Area",0.2,1.2,0.1,87.2,1.4,10.0,19300
"Davenport-Moline-Rock Island, IA-IL Metro Area",0.1,2.4,0.9,87.3,0.9,8.4,19340
"Dayton-Kettering-Beavercreek, OH Metro Area",0.3,2.2,1.1,85.1,0.8,10.5,19430
"Decatur, AL Metro Area",0.0,0.8,0.1,93.1,0.8,5.1,19460
"Decatur, IL Metro Area",0.1,1.8,0.8,88.8,0.9,7.5,19500
"Decatur, IN Micro Area",0.3,3.0,0.9,89.9,0.4,5.5,19540
"Defiance, OH Micro Area",0.2,1.7,0.0,91.6,0.6,6.0,19580
"Del Rio, TX Micro Area",0.5,1.6,0.1,92.3,1.9,3.6,19620
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.4,1.0,0.4,83.0,1.7,13.5,19660
"Deming, NM Micro Area",0.2,1.7,0.4,91.9,0.3,5.5,19700
"Denver-Aurora-Centennial, CO Metro Area",0.7,2.0,2.6,72.3,1.2,21.2,19740
"DeRidder, LA Micro Area",0.0,0.8,0.2,94.1,1.6,3.3,19760
"Des Moines-West Des Moines, IA Metro Area",0.2,1.6,0.5,82.2,1.2,14.3,19780
"Detroit Lakes, MN Micro Area",0.2,3.5,0.7,84.4,0.8,10.3,19810
"Detroit-Warren-Dearborn, MI Metro Area",0.2,1.3,1.1,82.4,1.2,13.8,19820
"Dickinson, ND Micro Area",0.2,2.1,0.1,89.1,0.7,7.7,19860
"Dixon, IL Micro Area",0.2,1.2,0.8,91.5,1.0,5.3,19940
"Dodge City, KS Micro Area",0.1,0.9,0.0,95.7,1.2,2.1,19980
"Dothan, AL Metro Area",0.1,0.7,0.1,94.1,1.0,4.0,20020
"Douglas, GA Micro Area",0.1,2.5,0.1,90.9,3.3,3.1,20060
"Dover, DE Metro Area",0.3,2.2,1.1,87.6,1.1,7.6,20100
"Dublin, GA Micro Area",0.1,0.5,0.0,94.9,0.8,3.7,20140
"DuBois, PA Micro Area",0.2,3.0,0.1,88.1,1.4,7.2,20180
"Dubuque, IA Metro Area",0.2,2.5,1.0,84.6,0.7,11.0,20220
"Duluth, MN-WI Metro Area",0.5,3.4,1.3,84.6,0.9,9.3,20260
"Dumas, TX Micro Area",0.0,4.1,0.2,94.0,0.3,1.4,20300
"Duncan, OK Micro Area",0.4,1.2,0.1,92.4,1.1,4.8,20340
"Durango, CO Micro Area",2.2,4.4,0.4,74.2,0.8,17.9,20420
"Durant, OK Micro Area",0.3,2.1,0.0,88.9,1.0,7.7,20460
"Durham-Chapel Hill, NC Metro Area",0.7,2.5,2.2,72.5,1.5,20.6,20500
"Dyersburg, TN Micro Area",0.1,0.2,0.0,94.2,1.0,4.5,20540
"Eagle Pass, TX Metro Area",0.0,1.0,0.1,92.8,1.6,4.4,20580
"Easton, MD Micro Area",1.2,2.7,0.6,79.9,1.2,14.3,20660
"East Stroudsburg, PA Micro Area",0.1,1.3,3.3,84.1,1.4,9.9,20700
"Eau Claire, WI Metro Area",0.6,2.6,0.5,84.1,1.0,11.2,20740
"Edwards, CO Micro Area",0.5,2.9,4.5,79.5,1.2,11.3,20780
"Effingham, IL Micro Area",0.1,2.6,0.2,86.5,0.6,10.1,20820
"El Campo, TX Micro Area",0.3,2.0,0.1,90.1,1.9,5.6,20900
"El Centro, CA Metro Area",0.3,2.8,0.5,88.1,1.9,6.5,20940
"El Dorado, AR Micro Area",0.0,1.6,0.1,91.8,0.4,6.1,20980
"Elizabeth City, NC Micro Area",0.0,2.5,0.0,87.2,1.9,8.5,21020
"Elizabethtown, KY Metro Area",0.2,2.3,0.2,87.9,1.6,7.8,21060
"Elk City, OK Micro Area",0.0,4.0,1.2,88.9,1.8,4.0,21120
"Elkhart-Goshen, IN Metro Area",1.3,2.1,0.3,90.7,0.8,4.8,21140
"Elkins, WV Micro Area",0.1,2.3,0.0,85.1,5.5,7.0,21180
"Elko, NV Micro Area",0.1,3.7,10.5,78.8,1.1,5.8,21220
"Ellensburg, WA Micro Area",0.9,5.8,0.4,78.3,1.3,13.2,21260
"Elmira, NY Metro Area",0.3,2.5,1.5,87.1,1.6,7.1,21300
"El Paso, TX Metro Area",0.1,1.5,0.9,87.7,2.0,7.8,21340
"Emporia, KS Micro Area",0.3,4.5,0.2,87.7,0.7,6.6,21380
"Enid, OK Metro Area",0.4,1.2,0.1,93.5,0.6,4.2,21420
"Enterprise, AL Micro Area",0.3,0.4,0.1,93.8,1.5,4.1,21460
"Erie, PA Metro Area",0.4,3.2,1.1,85.7,1.5,8.2,21500
"Escanaba, MI Micro Area",0.6,2.3,0.5,90.3,0.7,5.5,21540
"Española, NM Micro Area",0.0,2.5,0.7,86.1,1.3,9.3,21580
"Eufaula, AL-GA Micro Area",0.1,1.3,0.2,92.3,0.5,5.5,21640
"Eugene-Springfield, OR Metro Area",2.8,4.1,1.9,76.3,1.1,13.9,21660
"Eureka-Arcata, CA Micro Area",1.0,5.3,0.8,79.5,1.5,11.9,21700
"Evanston, WY-UT Micro Area",0.0,3.0,1.0,87.9,0.7,7.5,21740
"Evansville, IN Metro Area",0.3,2.3,0.7,89.1,1.0,6.7,21780
"Fairbanks-College, AK Metro Area",0.8,5.5,0.9,84.9,1.5,6.4,21820
"Fairmont, MN Micro Area",0.1,4.1,0.1,86.6,1.3,7.8,21860
"Fairmont, WV Micro Area",0.0,2.8,0.5,86.1,1.3,9.3,21900
"Fallon, NV Micro Area",1.0,4.1,2.4,86.6,0.9,5.1,21980
"Fargo, ND-MN Metro Area",0.3,2.8,0.8,85.3,1.5,9.3,22020
"Faribault-Northfield, MN Micro Area",0.6,6.7,0.4,78.3,1.3,12.8,22060
"Farmington, MO Micro Area",0.0,1.6,0.2,89.4,2.3,6.5,22100
"Farmington, NM Metro Area",0.1,2.5,0.2,91.4,0.3,5.6,22140
"Fayetteville, NC Metro Area",0.1,4.5,0.5,87.1,1.4,6.5,22180
"Fayetteville, TN Micro Area",0.0,1.0,0.5,91.4,0.8,6.3,22190
"Fayetteville-Springdale-Rogers, AR Metro Area",0.3,1.3,0.3,85.0,0.7,12.4,22220
"Fergus Falls, MN Micro Area",0.5,3.1,0.7,83.4,1.3,10.9,22260
"Findlay, OH Micro Area",0.4,2.1,0.1,88.2,0.8,8.5,22300
"Fitzgerald, GA Micro Area",0.0,0.6,0.7,92.4,2.5,3.8,22340
"Flagstaff, AZ Metro Area",1.5,7.4,1.9,76.7,0.9,11.6,22380
"Flint, MI Metro Area",0.1,1.0,1.1,87.9,0.7,9.2,22420
"Florence, SC Metro Area",0.1,0.9,0.1,90.1,1.8,7.1,22500
"Florence-Muscle Shoals, AL Metro Area",0.0,1.1,0.1,91.3,1.0,6.6,22520
"Fond du Lac, WI Metro Area",0.4,2.3,0.1,87.9,1.0,8.2,22540
"Forest City, NC Micro Area",0.1,1.3,0.1,90.2,1.5,6.7,22580
"Forrest City, AR Micro Area",0.0,1.5,0.1,94.2,1.2,3.0,22620
"Fort Collins-Loveland, CO Metro Area",2.4,2.8,0.9,74.0,1.0,18.9,22660
"Fort Dodge, IA Micro Area",0.2,3.0,0.2,90.6,1.9,4.0,22700
"Fort Leonard Wood, MO Micro Area",0.3,18.5,0.2,72.3,0.9,7.8,22780
"Fort Madison, IA Micro Area",0.7,1.8,0.2,90.6,1.1,5.6,22800
"Fort Morgan, CO Micro Area",0.8,3.1,0.0,88.8,0.4,6.9,22820
"Fort Payne, AL Micro Area",0.0,1.1,0.1,94.5,0.6,3.8,22840
"Fort Smith, AR-OK Metro Area",0.1,1.3,0.2,91.1,1.2,6.1,22900
"Fort Wayne, IN Metro Area",0.3,1.2,0.7,88.9,0.7,8.1,23060
"Frankfort, IN Micro Area",0.1,1.5,0.1,91.9,0.8,5.7,23140
"Frankfort, KY Micro Area",0.0,1.3,0.8,85.1,0.8,12.0,23180
"Franklin, KY Micro Area",0.0,1.6,0.3,92.2,0.7,5.2,23190
"Fredericksburg, TX Micro Area",0.1,3.4,0.3,85.0,0.3,10.9,23240
"Freeport, IL Micro Area",0.1,2.6,0.7,85.2,1.1,10.2,23300
"Fremont, NE Micro Area",0.8,1.3,0.0,93.1,1.2,3.6,23340
"Fremont, OH Micro Area",0.3,2.0,0.1,92.9,1.3,3.4,23380
"Fresno, CA Metro Area",0.4,1.6,0.8,86.0,1.9,9.3,23420
"Gadsden, AL Metro Area",0.0,0.8,0.1,94.3,0.9,3.8,23460
"Gaffney, SC Micro Area",0.0,1.2,0.0,92.2,1.4,5.3,23500
"Gainesville, FL Metro Area",1.6,2.9,2.5,80.3,1.5,11.2,23540
"Gainesville, GA Metro Area",0.0,1.0,0.7,85.5,1.9,10.9,23580
"Gainesville, TX Micro Area",0.2,1.1,0.4,89.4,1.9,7.1,23620
"Galesburg, IL Micro Area",0.2,3.6,0.5,89.3,0.6,5.7,23660
