NAME,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area
"Ottumwa, IA Micro Area",0.0,1.7,0.4,91.7,1.7,4.6,36900
"Owatonna, MN Micro Area",0.3,2.9,1.1,86.2,0.9,8.6,36940
"Owensboro, KY Metro Area",0.3,1.5,0.2,92.0,0.7,5.3,36980
"Owosso, MI Micro Area",0.3,1.7,0.2,89.6,0.8,7.5,37020
"Oxford, MS Micro Area",0.1,2.6,1.0,89.5,0.6,6.2,37060
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.4,1.6,0.7,82.1,1.0,14.1,37100
"Ozark, AL Micro Area",0.3,2.8,0.3,91.5,1.3,3.9,37120
"Paducah, KY-IL Metro Area",0.2,1.4,0.6,90.3,1.1,6.4,37140
"Pahrump, NV Micro Area",0.0,1.9,1.0,83.4,3.8,9.9,37220
"Palatka, FL Micro Area",0.4,1.4,0.2,87.4,1.0,9.6,37260
"Palestine, TX Micro Area",0.1,1.0,1.0,91.7,1.4,4.8,37300
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.5,1.0,0.6,83.3,1.3,13.2,37340
"Pampa, TX Micro Area",0.0,0.8,0.0,93.5,2.1,3.6,37420
"Panama City-Panama City Beach, FL Metro Area",0.3,1.1,0.5,88.3,1.1,8.6,37460
"Paragould, AR Micro Area",0.0,2.0,0.2,93.2,1.2,3.5,37500
"Paris, TN Micro Area",0.0,0.6,0.4,89.7,4.4,5.0,37540
"Paris, TX Micro Area",0.1,2.6,0.1,87.3,1.8,8.1,37580
"Parkersburg-Vienna, WV Metro Area",0.2,1.9,0.6,87.7,0.8,8.7,37620
"Payson, AZ Micro Area",0.3,2.2,0.1,85.2,1.2,11.0,37740
"Pella, IA Micro Area",0.3,3.7,0.2,84.9,1.1,9.7,37800
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.4,3.1,0.5,81.6,1.8,12.6,37860
"Peoria, IL Metro Area",0.2,1.7,0.7,86.8,0.7,9.8,37900
"Peru, IN Micro Area",0.4,2.0,0.4,92.1,0.7,4.5,37940
"Petoskey, MI Micro Area",0.7,4.5,0.4,83.6,1.4,9.3,37950
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.6,3.2,6.5,71.4,1.4,16.8,37980
"Phoenix-Mesa-Chandler, AZ Metro Area",0.5,1.4,1.2,76.6,1.8,18.5,38060
"Picayune, MS Micro Area",0.0,1.4,0.0,88.6,2.5,7.5,38100
"Pierre, SD Micro Area",0.4,2.7,0.8,90.8,0.4,4.9,38180
"Pikeville, KY Micro Area",0.0,1.7,0.1,93.3,0.9,3.9,38210
"Pine Bluff, AR Micro Area",0.0,1.0,0.7,91.4,0.4,6.5,38220
"Pinehurst-Southern Pines, NC Metro Area",0.1,0.8,0.2,83.0,4.4,11.4,38240
"Pittsburg, KS Micro Area",0.6,2.6,0.0,90.6,1.0,5.2,38260
"Pittsburgh, PA Metro Area",0.2,2.9,3.6,76.7,1.2,15.4,38300
"Pittsfield, MA Metro Area",0.2,5.2,1.4,79.8,0.7,12.7,38340
"Plainview, TX Micro Area",0.0,1.0,0.1,95.3,1.0,2.5,38380
"Platteville, WI Micro Area",0.4,6.8,0.3,81.5,1.8,9.3,38420
"Plattsburgh, NY Micro Area",0.3,4.7,0.2,87.0,0.7,7.2,38460
"Plymouth, IN Micro Area",1.9,3.0,0.1,87.9,1.9,5.2,38500
"Pocatello, ID Metro Area",0.6,2.5,1.2,84.2,1.1,10.5,38540
"Ponca City, OK Micro Area",0.1,1.6,0.0,92.9,2.0,3.4,38620
"Ponce, PR Metro Area",0.2,1.8,0.3,92.7,1.3,3.7,38660
"Pontiac, IL Micro Area",1.0,3.0,0.2,87.9,1.1,6.8,38700
"Poplar Bluff, MO Micro Area",0.1,1.6,0.5,91.7,1.2,4.9,38740
"Port Angeles, WA Micro Area",0.5,3.4,1.1,81.1,1.4,12.5,38820
"Portland-South Portland, ME Metro Area",0.4,3.8,0.8,76.7,1.0,17.2,38860
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1.4,3.1,3.7,70.3,1.2,20.4,38900
"Port Lavaca, TX Micro Area",0.0,2.2,0.0,93.7,0.1,4.0,38920
"Port St. Lucie, FL Metro Area",0.5,1.2,0.2,85.3,1.5,11.4,38940
"Portsmouth, OH Micro Area",0.1,1.5,0.1,92.1,0.7,5.5,39020
"Port Townsend, WA Micro Area",0.9,4.4,1.5,70.7,0.9,21.5,39040
"Pottsville, PA Micro Area",0.1,3.0,0.3,89.4,1.0,6.2,39060
"Prescott Valley-Prescott, AZ Metro Area",0.4,3.0,0.2,82.3,1.6,12.5,39150
"Price, UT Micro Area",0.2,1.4,0.5,91.0,1.3,5.5,39220
"Providence-Warwick, RI-MA Metro Area",0.3,2.6,1.8,83.0,1.4,10.9,39300
"Provo-Orem-Lehi, UT Metro Area",0.5,2.9,1.9,76.8,0.9,17.1,39340
"Pueblo, CO Metro Area",0.3,1.3,0.6,89.5,0.8,7.6,39380
"Pullman, WA Micro Area",1.5,11.7,3.4,72.7,1.1,9.5,39420
"Punta Gorda, FL Metro Area",0.5,1.0,0.2,80.7,2.2,15.3,39460
"Putnam, CT Micro Area",0.1,0.6,0.1,87.7,0.8,10.6,39480
"Quincy, IL-MO Micro Area",0.3,2.5,0.5,88.8,1.0,6.8,39500
"Racine-Mount Pleasant, WI Metro Area",0.2,1.0,0.9,87.0,2.0,8.9,39540
"Raleigh-Cary, NC Metro Area",0.2,1.1,0.6,73.5,1.2,23.4,39580
"Rapid City, SD Metro Area",0.6,2.2,0.3,86.2,1.3,9.3,39660
"Raymondville, TX Micro Area",0.0,2.3,0.0,88.2,0.1,9.4,39700
"Reading, PA Metro Area",0.1,2.8,1.0,83.5,1.9,10.6,39740
"Red Bluff, CA Micro Area",0.1,1.6,0.1,86.9,1.0,10.2,39780
"Redding, CA Metro Area",0.8,2.0,0.5,87.2,0.9,8.6,39820
"Red Wing, MN Micro Area",0.3,2.2,1.0,85.6,0.7,10.2,39860
"Reno, NV Metro Area",0.4,2.2,1.8,82.7,2.1,10.8,39900
"Rexburg, ID Micro Area",0.8,10.4,0.9,75.5,0.5,11.9,39940
"Rice Lake, WI Micro Area",0.1,3.5,0.1,87.3,0.9,8.2,39960
"Richmond, IN Micro Area",0.0,2.7,0.2,90.3,0.6,6.1,39980
"Richmond, VA Metro Area",0.3,1.7,1.1,79.0,1.2,16.7,40060
"Richmond-Berea, KY Micro Area",0.2,3.3,0.1,87.6,1.0,7.7,40080
"Rifle, CO Micro Area",3.4,4.2,4.1,76.1,1.0,11.2,40090
"Rio Grande City-Roma, TX Micro Area",0.0,3.3,0.0,85.8,1.8,9.1,40100
"Riverside-San Bernardino-Ontario, CA Metro Area",0.2,1.3,0.8,85.9,1.3,10.5,40140
"Riverton, WY Micro Area",0.9,4.1,0.4,84.1,1.3,9.1,40180
"Roanoke, VA Metro Area",0.1,1.5,0.9,84.5,1.2,11.8,40220
"Roanoke Rapids, NC Micro Area",0.0,0.8,0.0,88.8,3.4,7.0,40260
"Rochelle, IL Micro Area",0.1,1.6,0.6,89.4,1.1,7.2,40300
"Rochester, MN Metro Area",0.6,3.5,2.5,79.5,1.1,12.8,40340
"Rochester, NY Metro Area",0.4,2.7,1.4,81.7,1.2,12.6,40380
"Rockford, IL Metro Area",0.2,1.1,0.5,88.5,1.1,8.5,40420
"Rockingham, NC Micro Area",0.0,1.3,0.2,95.2,0.6,2.7,40460
"Rock Springs, WY Micro Area",0.6,1.8,2.4,92.1,0.3,2.8,40540
"Rocky Mount, NC Metro Area",0.1,0.7,0.4,88.1,1.7,9.1,40580
"Rolla, MO Micro Area",0.7,3.8,0.1,87.5,0.9,7.0,40620
"Rome, GA Metro Area",0.1,2.8,0.1,89.4,1.5,6.2,40660
"Roseburg, OR Micro Area",0.2,2.6,0.3,86.3,0.9,9.7,40700
"Roswell, NM Micro Area",0.3,2.0,0.1,91.4,1.2,5.0,40740
"Ruidoso, NM Micro Area",0.2,1.1,0.1,83.8,1.9,12.8,40760
"Russellville, AL Micro Area",0.0,0.1,0.0,98.1,0.3,1.5,40770
"Russellville, AR Micro Area",0.0,1.7,0.2,91.0,2.0,5.1,40780
"Ruston, LA Micro Area",0.2,2.8,0.0,86.3,0.3,10.4,40820
"Rutland, VT Micro Area",0.0,2.5,0.8,86.4,0.8,9.4,40860
"Sacramento-Roseville-Folsom, CA Metro Area",1.1,1.8,1.3,76.3,1.6,17.9,40900
"Safford, AZ Micro Area",0.0,1.1,0.2,92.5,1.5,4.6,40940
"Saginaw, MI Metro Area",0.2,2.0,0.4,88.3,0.8,8.4,40980
"St. Cloud, MN Metro Area",0.5,4.2,1.2,84.2,1.0,8.9,41060
"St. George, UT Metro Area",0.4,1.5,0.4,83.2,1.4,13.1,41100
"St. Joseph, MO-KS Metro Area",0.0,1.3,0.2,90.2,1.0,7.2,41140
"St. Louis, MO-IL Metro Area",0.2,1.5,1.3,82.1,1.0,13.8,41180
"St. Marys, PA Micro Area",0.3,2.5,0.4,91.9,2.0,2.8,41260
"Salem, OH Micro Area",0.7,2.3,0.2,90.4,0.8,5.6,41400
"Salem, OR Metro Area",0.7,2.4,1.2,81.9,1.3,12.6,41420
"Salina, KS Micro Area",0.8,1.9,0.4,89.3,1.0,6.6,41460
"Salinas, CA Metro Area",0.5,2.9,1.3,80.0,6.1,9.1,41500
"Salisbury, MD Metro Area",0.2,2.2,0.4,88.2,1.4,7.6,41540
"Salt Lake City-Murray, UT Metro Area",0.5,1.7,2.2,77.0,1.0,17.5,41620
"San Angelo, TX Metro Area",0.1,3.5,0.4,87.1,1.2,7.7,41660
"San Antonio-New Braunfels, TX Metro Area",0.2,1.5,1.3,82.4,1.5,13.0,41700
"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.5,3.1,2.2,75.7,1.6,16.9,41740
"Sandpoint, ID Micro Area",2.5,2.8,1.0,80.2,1.8,11.6,41760
"Sandusky, OH Metro Area",0.1,1.5,0.8,90.4,1.3,5.9,41780
"Sanford, NC Micro Area",0.0,1.5,0.2,91.1,1.4,5.7,41820
"San Francisco-Oakland-Fremont, CA Metro Area",1.5,3.9,10.3,59.1,2.0,23.2,41860
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1.3,2.0,2.6,71.2,1.3,21.5,41940
"San Juan-Bayamón-Caguas, PR Metro Area",0.1,2.5,1.2,88.5,1.9,5.7,41980
"San Luis Obispo-Paso Robles, CA Metro Area",1.4,4.4,0.8,78.4,1.0,14.0,42020
"Santa Cruz-Watsonville, CA Metro Area",2.1,4.3,1.9,71.9,2.3,17.6,42100
"Santa Fe, NM Metro Area",0.6,2.1,0.9,78.3,1.1,17.0,42140
"Santa Maria-Santa Barbara, CA Metro Area",2.5,3.9,2.3,77.3,1.5,12.5,42200
"Santa Rosa-Petaluma, CA Metro Area",0.7,2.4,1.0,80.2,1.4,14.4,42220
"Sault Ste. Marie, MI Micro Area",1.8,3.5,0.4,85.6,1.9,6.9,42300
"Savannah, GA Metro Area",0.7,1.7,1.1,86.0,1.5,9.0,42340
"Sayre, PA Micro Area",0.0,4.5,0.1,87.5,0.8,7.1,42380
"Scottsbluff, NE Micro Area",0.3,2.4,0.0,90.2,1.1,6.0,42420
"Scottsboro, AL Micro Area",0.0,0.8,0.1,93.6,1.1,4.3,42460
"Scranton--Wilkes-Barre, PA Metro Area",0.1,2.7,0.7,86.0,1.1,9.3,42540
"Seaford, DE Micro Area",0.4,1.4,0.3,84.8,1.3,11.8,42580
"Searcy, AR Micro Area",0.3,1.8,0.2,93.4,0.5,3.8,42620
"Seattle-Tacoma-Bellevue, WA Metro Area",0.8,3.3,5.8,67.3,1.2,21.6,42660
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",0.7,0.6,0.6,84.4,1.9,11.8,42680
"Sebring, FL Metro Area",0.3,1.9,0.2,88.6,1.6,7.6,42700
"Sedalia, MO Micro Area",0.2,1.0,0.2,90.4,1.9,6.2,42740
"Selinsgrove, PA Micro Area",1.4,6.1,0.3,83.0,0.7,8.6,42780
"Selma, AL Micro Area",0.0,1.2,0.5,92.7,0.5,5.1,42820
"Seneca, SC Micro Area",0.0,1.1,0.3,88.4,1.5,8.6,42860
"Seneca Falls, NY Micro Area",0.1,3.0,0.4,86.4,2.1,7.9,42900
"Sevierville, TN Micro Area",0.0,1.2,0.5,90.8,0.4,7.1,42940
"Seymour, IN Micro Area",0.0,2.4,0.0,91.7,2.0,3.8,42980
"Shawano, WI Micro Area",0.3,2.9,0.1,85.9,1.7,9.1,43020
"Shawnee, OK Micro Area",0.1,1.6,0.0,90.2,1.1,6.9,43060
"Sheboygan, WI Metro Area",0.6,1.9,0.3,86.4,1.2,9.8,43100
"Shelby-Kings Mountain, NC Micro Area",0.0,2.0,0.0,91.0,0.8,6.2,43140
"Shelbyville, TN Micro Area",0.0,0.9,0.0,89.8,1.0,8.3,43180
"Shelton, WA Micro Area",0.0,1.4,1.3,84.3,1.4,11.6,43220
"Sheridan, WY Micro Area",0.4,3.1,0.0,88.6,0.6,7.3,43260
"Sherman-Denison, TX Metro Area",0.1,1.6,0.5,85.5,1.1,11.2,43300
"Show Low, AZ Micro Area",0.4,3.4,0.8,85.1,1.3,8.9,43320
"Shreveport-Bossier City, LA Metro Area",0.1,1.1,0.9,90.2,1.9,5.9,43340
"Sidney, OH Micro Area",0.7,0.6,0.2,93.7,0.4,4.4,43380
"Sierra Vista-Douglas, AZ Metro Area",0.2,2.3,0.1,85.1,1.5,10.7,43420
"Sikeston, MO Micro Area",0.2,1.3,0.0,93.2,1.0,4.2,43460
"Silver City, NM Micro Area",0.0,2.0,0.1,84.6,0.3,13.0,43500
"Sioux City, IA-NE-SD Metro Area",0.2,1.9,0.9,90.6,0.7,5.7,43580
"Sioux Falls, SD-MN Metro Area",0.1,2.0,0.5,86.5,0.8,10.1,43620
"Slidell-Mandeville-Covington, LA Metro Area",0.1,0.8,0.1,85.1,1.5,12.4,43640
"Snyder, TX Micro Area",0.0,2.7,0.0,92.7,0.9,3.7,43660
"Somerset, KY Micro Area",0.0,1.0,0.2,93.2,0.6,4.9,43700
"Somerset, PA Micro Area",0.0,2.2,0.2,89.3,0.8,7.5,43740
"Sonora, CA Micro Area",0.0,3.5,0.3,83.6,0.6,12.0,43760
"South Bend-Mishawaka, IN-MI Metro Area",0.6,3.3,1.0,84.7,1.2,9.3,43780
"Sparta, WI Micro Area",0.4,2.6,0.1,86.6,2.1,8.3,43890
"Spartanburg, SC Metro Area",0.1,0.9,0.1,90.4,1.1,7.5,43900
"Spearfish, SD Micro Area",0.1,3.9,1.2,88.0,0.8,6.0,43940
"Spencer, IA Micro Area",0.3,4.2,1.1,87.7,0.2,6.5,43980
"Spirit Lake, IA Micro Area",0.5,1.8,0.0,85.2,1.9,10.5,44020
"Spokane-Spokane Valley, WA Metro Area",0.4,2.6,1.8,80.1,1.2,13.9,44060
"Springfield, IL Metro Area",0.4,1.4,1.0,84.5,0.9,11.8,44100
"Springfield, MA Metro Area",0.2,1.9,1.8,85.4,1.3,9.4,44140
"Springfield, MO Metro Area",0.3,1.9,0.6,86.7,1.0,9.4,44180
"Springfield, OH Metro Area",0.1,2.0,0.4,88.6,0.5,8.3,44220
"Starkville, MS Micro Area",0.5,2.3,0.4,89.0,0.9,7.1,44260
"State College, PA Metro Area",1.8,7.6,3.6,72.8,0.6,13.6,44300
"Statesboro, GA Micro Area",0.3,2.2,0.6,88.1,1.6,7.3,44340
"Staunton-Stuarts Draft, VA Metro Area",0.2,2.2,0.2,89.7,0.8,6.9,44420
"Steamboat Springs, CO Micro Area",1.6,3.0,1.0,79.3,1.0,14.1,44460
"Stephenville, TX Micro Area",1.1,4.5,0.0,86.3,1.4,6.7,44500
"Sterling, CO Micro Area",0.3,3.0,2.1,86.2,0.2,8.2,44540
"Sterling, IL Micro Area",0.7,3.5,0.3,90.2,0.4,4.9,44580
"Stevens Point-Plover, WI Micro Area",0.9,4.0,0.4,82.4,0.8,11.5,44620
"Stillwater, OK Micro Area",1.1,4.4,0.7,84.0,1.6,8.2,44660
"Stockton-Lodi, CA Metro Area",0.3,1.1,1.1,87.2,1.0,9.3,44700
"Storm Lake, IA Micro Area",0.3,5.9,0.0,87.1,0.3,6.3,44740
"Sturgis, MI Micro Area",1.3,2.0,0.1,89.3,1.1,6.1,44780
"Sulphur Springs, TX Micro Area",0.0,1.3,0.7,89.6,1.3,7.1,44860
"Summerville, GA Micro Area",0.0,0.7,0.4,94.7,0.3,3.8,44900
"Sumter, SC Metro Area",0.2,1.5,0.2,92.4,1.2,4.5,44940
"Sunbury, PA Micro Area",0.1,3.9,0.2,86.2,1.0,8.7,44980
"Susanville, CA Micro Area",0.2,2.7,0.4,89.6,0.5,6.7,45000
"Sweetwater, TX Micro Area",0.6,2.4,0.0,91.5,1.9,3.6,45020
"Syracuse, NY Metro Area",0.2,3.8,1.7,82.0,1.6,10.6,45060
"Tahlequah, OK Micro Area",0.2,3.5,0.1,87.6,1.5,7.1,45140
"Talladega-Sylacauga, AL Micro Area",0.3,1.1,0.2,92.9,1.4,4.1,45180
"Tallahassee, FL Metro Area",0.4,2.1,1.3,83.6,1.0,11.7,45220
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.5,1.2,0.8,77.8,1.7,17.8,45300
"Taos, NM Micro Area",0.2,2.7,0.5,78.3,0.9,17.4,45340
"Taylorville, IL Micro Area",0.2,0.7,0.0,92.6,0.2,6.3,45380
"Terre Haute, IN Metro Area",0.4,2.7,0.7,90.5,0.9,4.9,45460
"Texarkana, TX-AR Metro Area",0.0,1.1,0.1,92.7,1.0,5.1,45500
"The Dalles, OR Micro Area",0.4,3.6,0.8,86.2,2.2,6.9,45520
"Thomaston, GA Micro Area",0.0,2.9,0.0,92.8,1.2,3.0,45580
"Thomasville, GA Micro Area",0.2,0.6,0.3,93.1,0.3,5.6,45620
"Tiffin, OH Micro Area",0.1,4.2,0.2,89.0,1.4,5.0,45660
"Tifton, GA Micro Area",0.3,1.2,0.1,92.0,1.0,5.4,45700
"Toccoa, GA Micro Area",0.2,2.0,0.0,90.7,0.7,6.4,45740
"Toledo, OH Metro Area",0.2,1.9,0.7,88.6,0.9,7.7,45780
"Topeka, KS Metro Area",0.0,1.7,0.5,87.0,1.1,9.7,45820
"Torrington, CT Micro Area",0.2,3.2,1.2,80.1,1.0,14.2,45860
"Town of Pecos, TX Micro Area",0.0,1.1,0.0,95.4,2.2,1.3,45880
"Traverse City, MI Metro Area",0.9,1.9,0.7,82.9,0.9,12.8,45900
"Trenton-Princeton, NJ Metro Area",0.7,3.5,5.2,70.7,2.1,17.8,45940
"Troy, AL Micro Area",0.3,1.7,0.4,91.9,1.3,4.5,45980
"Truckee-Grass Valley, CA Micro Area",0.8,1.8,0.1,73.7,1.5,22.1,46020
"Tucson, AZ Metro Area",1.0,1.9,1.6,80.3,1.4,13.8,46060
"Tullahoma-Manchester, TN Micro Area",0.1,1.5,0.0,90.0,0.3,8.1,46100
"Tulsa, OK Metro Area",0.2,1.2,0.3,87.2,1.2,9.8,46140
"Tupelo, MS Micro Area",0.0,0.3,0.1,94.5,0.7,4.5,46180
"Tuscaloosa, AL Metro Area",0.2,1.4,0.8,90.7,0.6,6.3,46220
"Twin Falls, ID Metro Area",0.1,1.1,0.1,90.1,1.0,7.5,46300
"Tyler, TX Metro Area",0.2,1.3,0.3,87.5,1.9,8.9,46340
"Ukiah, CA Micro Area",0.3,6.5,0.4,80.6,0.6,11.7,46380
"Union City, TN Micro Area",0.2,1.2,0.0,93.1,1.8,3.7,46460
"Urbana, OH Micro Area",0.1,2.2,0.0,88.4,1.0,8.2,46500
"Urban Honolulu, HI Metro Area",1.0,5.0,5.3,77.7,2.6,8.4,46520
"Utica-Rome, NY Metro Area",0.3,3.3,0.9,84.9,0.8,9.8,46540
"Utuado, PR Micro Area",0.0,3.4,1.0,91.9,0.0,3.6,46580
"Uvalde, TX Micro Area",0.0,1.1,0.0,93.1,1.6,4.1,46620
"Valdosta, GA Metro Area",0.3,2.0,0.3,90.8,1.8,4.8,46660
"Vallejo, CA Metro Area",0.3,1.3,1.9,84.5,1.2,10.9,46700
"Van Wert, OH Micro Area",0.3,1.9,0.1,92.9,1.1,3.8,46780
"Vermillion, SD Micro Area",1.9,10.7,0.3,78.9,0.5,7.7,46820
"Vernal, UT Micro Area",0.9,2.3,0.4,88.6,1.4,6.5,46860
"Vernon, TX Micro Area",0.9,1.6,0.1,93.5,0.9,2.9,46900
"Vicksburg, MS Micro Area",0.0,0.7,0.3,94.5,1.7,2.9,46980
"Victoria, TX Metro Area",0.2,1.6,0.6,90.2,0.9,6.5,47020
"Vidalia, GA Micro Area",0.0,3.0,0.3,91.0,0.6,5.1,47080
"Vincennes, IN Micro Area",0.3,3.7,0.3,93.0,0.7,2.0,47180
"Vineland, NJ Metro Area",0.4,1.3,1.1,90.8,1.4,4.9,47220
"Vineyard Haven, MA Micro Area",0.6,6.5,1.6,72.2,0.7,18.4,47240
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",0.3,2.4,1.1,83.9,1.5,10.7,47260
"Visalia, CA Metro Area",0.1,1.3,0.3,91.9,0.7,5.6,47300
"Wabash, IN Micro Area",0.2,2.6,0.1,90.7,0.8,5.6,47340
"Waco, TX Metro Area",0.2,1.9,0.3,88.1,0.8,8.7,47380
"Wahpeton, ND-MN Micro Area",0.4,5.1,0.4,84.3,1.7,8.1,47420
"Walla Walla, WA Metro Area",1.2,6.6,0.8,79.1,1.2,11.2,47460
"Wapakoneta, OH Micro Area",0.6,1.7,0.3,91.0,0.9,5.4,47540
"Warner Robins, GA Metro Area",0.3,0.7,0.3,88.6,1.2,9.0,47580
"Warren, PA Micro Area",0.1,3.3,0.8,89.6,1.3,5.0,47620
"Warrensburg, MO Micro Area",0.2,3.6,0.3,88.5,1.1,6.3,47660
"Warsaw, IN Micro Area",0.6,2.4,0.2,88.0,1.1,7.7,47700
"Washington, IN Micro Area",0.6,3.3,0.1,89.3,1.3,5.4,47780
"Washington, NC Micro Area",0.2,1.0,0.1,88.9,1.1,8.7,47820
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",0.7,2.7,7.9,64.3,1.8,22.6,47900
"Washington Court House, OH Micro Area",0.0,1.1,0.7,93.6,0.2,4.4,47920
"Waterbury-Shelton, CT Metro Area",0.1,1.6,1.5,84.3,1.2,11.4,47930
"Waterloo-Cedar Falls, IA Metro Area",0.3,3.7,0.2,86.3,0.6,8.9,47940
"Watertown, SD Micro Area",0.5,1.2,0.5,91.0,0.8,6.0,47980
"Watertown-Fort Atkinson, WI Micro Area",0.3,3.1,0.3,85.6,1.4,9.3,48020
"Watertown-Fort Drum, NY Metro Area",0.2,4.5,0.5,85.7,1.7,7.4,48060
"Wausau, WI Metro Area",0.3,1.9,0.3,84.9,1.0,11.7,48140
"Waycross, GA Micro Area",0.1,0.6,0.1,94.6,0.9,3.7,48180
"Waynesville, NC Micro Area",0.1,2.6,0.0,88.5,1.0,7.7,48200
"Weatherford, OK Micro Area",0.0,2.3,0.0,92.0,1.5,4.2,48220
"Weirton-Steubenville, WV-OH Metro Area",0.0,3.2,0.4,87.3,1.1,8.0,48260
"Wenatchee-East Wenatchee, WA Metro Area",0.6,3.3,1.3,83.4,3.1,8.2,48300
"West Plains, MO Micro Area",0.0,1.3,0.2,93.0,2.0,3.5,48460
"Wheeling, WV-OH Metro Area",0.1,2.4,0.6,90.7,0.5,5.6,48540
"Whitewater-Elkhorn, WI Micro Area",0.4,3.4,0.2,85.4,1.0,9.7,48580
"Wichita, KS Metro Area",0.3,1.4,0.5,89.3,1.2,7.3,48620
"Wichita Falls, TX Metro Area",0.3,6.4,0.2,85.3,1.1,6.7,48660
"Wildwood-The Villages, FL Metro Area",1.2,1.5,0.2,78.6,5.3,13.3,48680
"Williamsport, PA Metro Area",0.3,3.5,1.3,86.8,0.7,7.5,48700
"Williston, ND Micro Area",0.0,3.4,0.2,92.3,0.9,3.2,48780
"Willmar, MN Micro Area",0.5,1.3,1.0,87.8,1.1,8.3,48820
"Wilmington, NC Metro Area",0.3,1.2,0.4,81.7,0.9,15.5,48900
"Wilmington, OH Micro Area",0.2,2.7,0.3,88.2,1.0,7.5,48940
"Wilson, NC Micro Area",0.0,1.5,0.1,90.4,1.5,6.5,48980
"Winchester, TN Micro Area",0.6,2.8,0.1,88.4,0.4,7.6,49010
"Winchester, VA-WV Metro Area",0.1,1.8,0.3,85.9,1.0,11.0,49020
"Winnemucca, NV Micro Area",0.0,1.4,9.9,79.5,2.3,6.9,49080
"Winona, MN Micro Area",0.8,6.0,1.2,81.7,0.9,9.5,49100
"Winston-Salem, NC Metro Area",0.1,1.2,0.5,86.5,1.1,10.6,49180
"Wisconsin Rapids-Marshfield, WI Micro Area",0.7,2.1,0.1,86.9,1.0,9.1,49220
"Woodward, OK Micro Area",0.1,1.2,0.3,93.0,2.5,2.9,49260
"Wooster, OH Micro Area",1.7,4.8,0.2,84.2,2.2,7.0,49300
"Worcester, MA Metro Area",0.1,2.4,1.5,79.5,2.1,14.3,49340
"Worthington, MN Micro Area",0.3,4.7,1.1,87.0,1.0,6.0,49380
"Yakima, WA Metro Area",0.3,1.3,0.3,91.0,0.8,6.4,49420
"Yankton, SD Micro Area",0.1,3.2,1.1,89.1,1.0,5.5,49460
"York-Hanover, PA Metro Area",0.2,1.5,0.8,85.9,1.0,10.5,49620
"Youngstown-Warren, OH Metro Area",0.1,1.3,0.9,88.6,1.6,7.5,49660
"Yuba City, CA Metro Area",0.2,1.4,0.7,89.2,0.9,7.7,49700
"Yuma, AZ Metro Area",0.4,1.6,0.7,89.5,1.1,6.7,49740
"Zanesville, OH Micro Area",0.0,1.7,0.1,92.6,0.3,5.3,49780
"Zapata, TX Micro Area",0.0,2.3,0.0,89.9,0.0,7.9,49820
