NAME,metropolitan statistical area/micropolitan statistical area,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,masters_degree,no_schooling,nursery_school,professional_degree,some_college_1_or_more_years,some_college_less_1_year
"Lake of the Woods, VA Micro Area",29470,1968,4908,29.44913670677928,240,35.94065326257568,8.700201808804843,25.910008221840197,26758,1234,0,567,258,414,0,13,0,28,63,86,215,267,8383,0,2325,417,0,407,3146,1819
"Lancaster, PA Metro Area",29540,30197,74352,30.975160116332663,4688,34.457193712950755,12.851686452754423,21.715959717962168,377538,18080,40,5881,5174,6361,13,563,335,226,540,1249,13990,7632,112009,120,32133,6288,108,5770,33219,18570
"Lansing-East Lansing, MI Metro Area",29620,31297,66735,37.25123894034924,8251,23.365701460782024,5.881074699670481,33.501984899198256,308328,9331,44,3028,3971,3644,61,184,158,132,251,302,1568,1498,62712,35,31914,3218,39,7956,46252,25747
"Laramie, WY Micro Area",29660,1845,6101,55.509822263797936,1659,14.443405051449954,3.0542563143124415,26.992516370439663,21380,668,9,73,107,146,0,1,0,0,0,25,84,67,2420,0,3599,141,0,509,2645,1281
"Laredo, TX Metro Area",29700,11298,22416,20.9415563109472,679,22.16214087908338,30.211436746157784,26.684866063811636,152386,5736,208,2661,3970,7510,503,1211,849,1063,7004,1742,4461,8672,28036,41,7314,6119,24,1503,21538,7828
"Lares, PR Micro Area",29720,2453,3280,21.298763082778308,112,23.18268315889629,30.851569933396767,24.66698382492864,21020,358,426,278,349,160,165,503,590,462,890,451,405,1039,4515,0,1075,767,0,10,2298,434
"Las Cruces, NM Metro Area",29740,12334,24324,31.39871767875166,2584,22.84071188434421,17.345464315018262,28.41510612188587,137719,5708,89,1978,2975,2437,505,1400,632,420,5703,848,879,3110,25748,58,13927,2828,26,2407,19026,7773
"Las Vegas, NM Micro Area",29780,1847,3215,26.119016817593792,363,27.438551099611903,13.14359637774903,33.29883570504528,23190,1545,54,632,769,347,23,8,0,68,291,79,238,203,4818,0,2233,336,0,246,4887,988
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",29820,135109,286282,27.308581787539083,16083,27.61387889964943,13.186110048871399,31.89142926394009,1592547,63775,924,18916,26700,55706,1829,3747,2319,4017,20091,4806,11515,17538,375989,763,105096,40608,516,27441,252642,120135
"Laurel, MS Micro Area",29860,5837,6373,18.59212346218243,331,34.820193637621024,12.406275023658733,34.18140787653782,54948,4026,0,1104,1421,1012,119,163,78,87,229,439,971,570,15107,0,2803,624,0,709,9348,3597
"Laurinburg, NC Micro Area",29900,2500,2174,14.811797993655148,170,36.067049644173885,17.64125868129984,31.47989368087113,23326,1462,0,1001,991,656,0,7,10,74,40,150,358,618,6951,0,989,207,3,122,3822,1021
"Lawrence, KS Metro Area",29940,4148,20500,52.03068273319301,3044,19.450762124058823,4.113633474127336,24.40492166862083,70789,2485,0,550,475,530,0,1,0,39,60,102,234,254,11284,0,10790,667,0,2498,9222,3906
"Lawrenceburg, TN Micro Area",29980,2121,2862,15.499205508474576,138,42.22060381355932,14.453125,27.8270656779661,30208,2793,6,741,617,553,3,32,22,58,84,292,1065,435,9961,21,1424,434,3,258,3797,2488
"Lawton, OK Metro Area",30020,6242,12777,24.02014929902288,904,33.032712265582326,9.67409115737088,33.27304727802391,82385,4944,9,1126,1790,1857,24,33,66,11,146,328,773,835,22270,51,5083,884,37,1025,13983,7187
"Lebanon, MO Micro Area",30060,1691,2523,15.656524568825253,61,42.79612756264237,14.159616010413275,27.387731858119103,24584,1759,17,526,968,558,0,0,0,6,127,157,424,273,8762,0,1083,385,40,182,3331,1711
"Lebanon, PA Metro Area",30140,7706,15036,23.952162284906898,922,41.622849068981175,11.954382600797295,22.47060604531463,99085,5190,8,2369,2465,1547,147,159,24,87,207,141,1924,1538,36052,9,6624,1200,20,1151,8599,5960
"Lebanon-Claremont, NH-VT Micro Area",30150,14412,35843,40.0879934460054,4837,29.506933276693875,6.273629274509209,24.131444002791515,164785,6280,25,1673,2259,1696,0,53,11,35,151,235,1035,1664,42343,0,20155,1446,55,5224,17314,8039
"Le Mars, IA Micro Area",30180,2506,3203,23.87991291394523,62,36.31259310186777,5.809556548642146,33.99793743554486,17454,596,0,86,174,176,6,0,0,15,16,57,212,137,5742,0,675,135,0,228,2239,1189
"Lewisburg, PA Micro Area",30260,2288,4218,26.424799396474864,744,41.327755297990535,13.315273300870997,18.932172004663602,29162,2542,0,653,825,549,31,0,4,30,40,42,721,646,9510,6,2128,261,75,616,1945,1288
"Lewisburg, TN Micro Area",30280,2355,3576,20.991447313792243,69,37.100390268205594,9.482687038113427,32.42547537988873,24086,1190,21,305,535,359,0,10,0,1,76,100,459,199,7746,0,1208,219,0,203,3390,2065
"Lewiston, ID-WA Metro Area",30300,5375,7800,25.893805693471805,860,29.492877739956203,7.414955662034125,37.198360904537864,46123,2463,81,436,658,805,0,1,7,22,40,66,474,401,11140,3,2502,424,2,781,7679,4103
"Lewiston-Auburn, ME Metro Area",30340,9958,12348,23.440359341207788,522,36.36154230065393,7.534903958128048,32.663194400010234,78143,5793,34,957,832,1105,8,64,24,59,162,145,1177,590,22621,0,4654,723,8,793,9831,5735
"Lewistown, PA Micro Area",30380,2713,2726,13.242164536988335,224,48.584511617833606,15.649268277590423,22.524055567587638,32321,1796,0,1021,1061,483,0,0,18,2,6,45,1174,943,13907,0,1198,302,3,132,3052,1515
"Lexington, NE Micro Area",30420,1657,2361,18.513024387349432,125,30.706699104017087,20.63727526256453,30.143001246068952,16853,987,0,188,368,407,31,331,109,128,406,238,209,184,4188,9,534,870,0,100,2028,1395
"Lexington-Fayette, KY Metro Area",30460,27893,80105,41.06946442169389,9585,23.50160903979857,8.074958205811216,27.353968332696333,342751,16283,143,4320,4826,4654,207,423,306,493,1519,518,3586,3280,64269,0,39164,3358,44,11912,46289,19574
"Lexington Park, MD Metro Area",30500,12016,27939,35.17458702502579,1891,28.634109118657,6.469116961295519,29.72218689502169,141534,4413,21,1959,1659,1675,87,37,0,60,451,119,820,1147,36114,14,18064,1107,0,1890,17726,12325
"Liberal, KS Micro Area",30580,1278,1211,12.662132236633978,35,27.92628914900348,28.052831382473904,31.358747231888646,12644,798,28,273,346,309,92,250,148,104,413,170,129,556,2733,0,306,729,0,49,1893,794
"Lima, OH Metro Area",30620,7152,8513,19.93422014325391,603,40.74111971933928,7.6070749890366915,31.71758514837012,68410,3950,14,1122,1164,1270,0,48,49,7,61,64,248,500,23921,0,3662,655,2,859,9019,5527
"Lincoln, IL Micro Area",30660,1584,2638,19.868327038889454,91,40.37460447075635,8.502602837603348,31.25446565275084,19594,1308,0,428,344,304,0,0,16,1,90,27,174,225,6603,0,977,56,1,187,3026,1514
"Lincoln, NE Metro Area",30700,25508,56071,40.5854966074072,5217,20.92153374147182,6.438688166318768,32.05428148480221,214143,7801,19,1544,1785,3540,63,158,75,64,602,97,758,1189,37001,31,21020,3792,71,4603,28752,14382
"Little Rock-North Little Rock-Conway, AR Metro Area",30780,42602,102574,32.86406117918454,7177,29.12647437568633,7.852013367146209,30.157451077982923,506316,23905,93,6313,7227,6782,343,607,320,276,2506,1477,3491,4203,123567,160,44437,5769,189,12208,77158,32932
"Lock Haven, PA Micro Area",30820,2189,3398,21.29003878913904,263,45.771184068460826,10.321110089175031,22.617667053225095,25007,950,0,550,468,402,0,0,0,0,14,12,540,345,10496,0,1470,240,10,193,2268,1199
"Logan, UT-ID Metro Area",30860,5677,19549,38.32381191537447,1784,22.637955929436878,6.002887814677632,33.03534434051102,79645,1751,12,557,696,1167,78,49,43,66,243,25,184,561,16279,18,8018,1082,0,1172,14044,6590
"Logansport, IN Micro Area",30900,2468,2653,15.640483963894757,71,43.24563088150566,14.219320145957365,26.894565008642214,26035,1775,0,518,887,655,0,80,48,120,114,79,324,353,9484,0,1145,518,6,203,2707,1827
"Longview, TX Metro Area",30980,17980,27182,20.81292747872396,877,30.67874484414974,13.01101655093197,35.49731112619433,191530,11217,54,3733,5048,3695,234,602,389,481,2564,992,1542,3015,47542,92,10066,2452,27,1738,33967,16041
"Longview-Kelso, WA Metro Area",31020,9957,8973,17.006680600612924,378,31.421903650608435,10.055522074191853,41.51589367458679,77987,5175,17,1085,1522,1758,24,82,85,223,356,126,423,822,19330,33,3368,1237,49,544,13855,8565
"Los Alamos, NM Micro Area",31060,628,3523,68.24698367636621,2485,10.170333569907736,1.6891412349183819,19.893541518807663,14090,207,0,16,1,58,11,0,0,0,43,0,25,51,1226,0,3279,33,0,329,1700,475
"Los Angeles-Long Beach-Anaheim, CA Metro Area",31080,651794,2175480,37.389010711305446,143872,19.549810597585022,17.81770204021105,25.24347665089849,9117096,182754,12696,93397,123784,274230,28651,59115,35872,53067,253271,39280,88896,171642,1599621,5837,834718,381231,3488,254722,1186151,463527
"Louisville/Jefferson County, KY-IN Metro Area",31140,84594,184127,32.14813248394174,12245,29.40593693003093,8.714757738362719,29.731172847664617,945775,49967,126,14568,15820,15377,347,438,440,410,2808,2111,6796,11233,228147,190,87275,11601,157,20402,130375,66221
"Lubbock, TX Metro Area",31180,16149,41033,31.34795800603105,4675,26.169446409292284,12.511168608763635,29.971426975913033,214888,10519,71,3948,3910,3639,392,674,240,535,2009,1422,1840,3625,45716,161,17840,4350,69,3815,31343,16913
"Ludington, MI Micro Area",31220,2795,3250,25.031511133933993,156,33.3737920731992,6.638345548760562,34.95635124410625,21421,903,0,265,330,287,4,10,0,13,60,9,131,197,6246,0,1690,114,2,266,3143,1550
"Lufkin, TX Micro Area",31260,5089,6400,18.01276079658306,259,34.069217654192954,15.121368182377445,32.796653366846535,56893,3770,0,941,1598,1279,22,64,138,165,528,453,793,1075,15613,0,3142,1528,19,447,8992,4578
"Lumberton, NC Micro Area",31300,7636,7205,14.559300409334963,217,34.913082770719264,21.117962894051352,29.409653925894425,75244,2870,101,3148,3377,1612,121,201,114,180,1037,528,1620,2746,23400,32,3040,1030,43,493,11149,3344
"Lynchburg, VA Metro Area",31340,15496,34358,30.874793334800444,2521,30.25465666773879,9.06336228056811,29.807187716892656,177219,8600,37,2728,3231,2738,0,61,91,191,354,890,1682,1828,45017,41,15393,2128,62,2444,25003,12325
"Macomb, IL Micro Area",31380,1707,2789,31.804317923569165,519,32.737276478679505,5.7293224089468335,29.729083188804495,16721,878,32,183,175,197,0,5,12,15,8,0,136,70,4596,0,1827,125,0,183,2232,1032
"Macon-Bibb County, GA Metro Area",31420,13503,19853,24.157776441166227,2063,34.156826743486654,12.193485073918136,29.49191174142898,157945,10455,85,3603,3600,3555,76,165,232,102,466,526,1444,2956,43494,0,11982,2381,68,4258,23489,9589
"Madison, IN Micro Area",31500,2799,2617,18.102742970331136,234,38.827886147353915,11.368040304870172,31.701330577444775,23223,1641,30,358,436,618,0,15,0,11,68,26,299,371,7376,0,1224,408,0,129,2613,1950
"Madison, WI Metro Area",31540,44936,137961,49.2930751501985,17444,20.215600696409332,4.111026553315858,26.380297600076318,461223,10844,60,2238,3263,4510,148,79,190,195,980,230,1494,1427,82395,17,58563,4100,30,13383,52990,23746
"Madisonville, KY Micro Area",31580,3179,2862,16.627388535031848,237,39.1624203821656,12.273885350318471,31.936305732484076,31400,2820,0,711,500,560,36,1,32,31,61,146,682,670,9477,0,1627,419,5,495,4487,2362
"Magnolia, AR Micro Area",31620,1004,1905,20.381939514411474,101,40.593497089308535,11.53627715462161,27.488286241658383,14086,393,4,195,312,407,0,0,16,24,38,30,150,242,5325,0,771,207,0,94,1716,1152
"Malvern, AR Micro Area",31680,1974,2407,15.784428142714239,120,41.01783927975992,10.603534511503835,32.59419806602201,23992,1974,0,372,625,500,0,0,0,9,48,70,205,523,7867,0,1190,166,26,70,3868,1978
"Manchester-Nashua, NH Metro Area",31700,29314,77518,40.620348208137976,4451,25.594281779730483,7.014328338634053,26.771041673497493,304990,12557,40,3522,3112,3857,169,177,191,289,1015,1003,2269,2929,65503,75,36892,2697,48,5027,34185,18150
"Manhattan, KS Metro Area",31740,7717,16364,38.967064624248636,2744,21.5312595218969,4.571895515359685,34.92978033849477,72202,2288,4,245,739,888,13,12,25,28,272,20,274,136,13258,0,7695,634,11,1332,11423,6080
"Manitowoc, WI Micro Area",31820,7185,9231,22.23185449600544,308,37.44348121706612,7.652558218595955,32.67210606833248,58830,1753,0,781,915,1040,38,2,0,74,127,53,469,271,20275,0,2753,731,1,787,7144,4892
"Mankato, MN Metro Area",31860,9127,14673,34.909728474624465,1509,25.028037087933786,5.027721177083827,35.034513260357926,63309,1808,15,525,506,675,36,11,52,10,225,41,334,293,14037,0,4798,460,0,1121,8543,4510
"Mansfield, OH Metro Area",31900,8326,9853,17.881391713167414,495,41.910011068889574,10.530279689158194,29.67831752878482,87633,5789,9,1441,2372,1721,7,0,32,87,155,290,1074,949,30938,24,4436,1056,11,886,9893,7789
"Marietta, OH Micro Area",31930,5698,5646,20.702693816200473,338,37.04408276380376,7.057469644660514,35.19575377533526,42579,1164,24,733,738,485,13,0,13,17,10,116,104,420,14609,0,2275,324,8,556,6052,3236
"Marinette, WI-MI Micro Area",31940,6591,6396,18.94941634241245,259,38.404669260700395,7.128814253532664,35.5171001433545,48830,1961,0,546,785,801,5,18,1,5,35,27,372,345,16792,0,2365,533,8,233,6778,3974
"Marion, IN Micro Area",31980,4360,5323,20.381480124564938,409,37.28704891005678,11.236032240337058,31.09543872504122,43672,3191,0,621,1034,785,0,19,5,28,122,146,557,891,13093,6,2946,672,21,223,5971,3249
"Marion, NC Micro Area",32000,4290,3985,17.55690161527166,116,35.01590797846305,13.879711209006363,33.54747919725894,32688,2427,33,1230,694,539,0,37,8,0,108,158,510,682,9019,0,1390,533,5,248,4119,2557
"Marion, OH Micro Area",32020,4238,4320,13.698391625133304,228,43.81352427797245,10.938690230047664,31.549393866846586,45947,3814,5,1014,1077,843,1,8,14,0,94,33,431,897,16317,0,1442,608,1,304,6228,4030
"Marion-Herrin, IL Micro Area",32060,5535,7926,27.457267181611876,709,28.083945785013846,7.563865003851679,36.8949220295226,48031,2274,1,602,816,703,0,1,26,53,97,106,352,399,11215,4,3914,473,0,639,8166,4020
"Marquette, MI Micro Area",32100,5013,10842,35.83194563211666,705,26.641613033889914,4.496151942031594,33.03028939196184,44438,1797,0,332,417,571,14,0,0,21,35,16,142,239,10042,4,3579,207,0,797,6405,3260
"Marshall, MN Micro Area",32140,2282,3341,28.649011471808638,284,27.117402977788625,8.146204539907249,36.087381010495484,16388,439,1,138,156,241,0,0,0,55,98,16,77,161,4005,0,1000,391,1,70,2375,1257
"Marshall, MO Micro Area",32180,897,2482,26.033898305084747,116,34.8,12.4135593220339,26.752542372881354,14750,719,8,448,231,174,13,55,38,44,113,33,209,150,4414,3,1010,268,44,232,1852,1197
"Marshalltown, IA Micro Area",32260,3098,3874,21.4471550846499,149,34.54620866483164,12.970853286075185,31.03578296444327,26521,1381,0,233,326,465,0,139,289,149,342,127,223,462,7781,42,1458,622,21,207,3553,1580
"Martin, TN Micro Area",32280,982,2779,21.612536691601175,353,45.39816305274122,12.039579585266546,20.949720670391063,21122,2228,0,524,458,318,3,0,8,24,56,112,352,423,7361,0,1278,265,0,155,2300,1143
"Martinsville, VA Micro Area",32300,5999,4816,16.737297391760233,169,33.21901349993447,16.226134824588232,33.81755428371707,45778,3439,0,1442,1372,691,16,59,32,30,523,396,837,896,11768,69,2393,1057,8,284,6601,2881
"Maryville, MO Micro Area",32340,928,1896,25.596615851225156,189,39.21302578018996,5.8185010775001995,29.371857291084684,12529,742,1,122,162,74,2,17,26,1,4,0,183,105,4171,0,1025,32,0,97,2049,703
"Mason City, IA Micro Area",32380,5396,5809,23.639545542931746,283,35.73710380843912,5.564043445651269,35.05930720297786,35999,1553,0,354,483,407,0,0,0,0,27,48,289,136,11312,0,1882,259,0,536,4624,2601
"Massena-Ogdensburg, NY Micro Area",32390,9409,9016,24.640042703226623,1113,33.766452682296425,10.889322788633075,30.70418182584388,71189,4431,50,1199,1545,835,18,4,41,12,179,223,1667,1054,19607,5,6381,875,45,1031,7705,4744
"Mayagüez, PR Metro Area",32420,14538,30827,26.89925240299039,2064,29.09090909090909,23.231819799993527,20.778018706106995,154495,5686,702,2152,3377,1032,934,2053,2475,2087,5614,3255,3319,6303,39258,0,7223,2575,14,1444,15654,1909
"Mayfield, KY Micro Area",32460,2893,2482,17.430787157953954,220,41.63619560413067,11.299071804556595,29.633945433358782,24887,2102,0,707,475,310,0,8,18,0,104,107,370,318,8260,0,1293,372,23,343,2762,1720
"McAlester, OK Micro Area",32540,2868,3913,19.707885127800257,191,35.70512187900918,12.730681930326657,31.856311062863913,30399,1858,0,853,951,355,2,31,4,7,144,89,476,629,8996,2,1621,327,0,266,4717,2099
"McAllen-Edinburg-Mission, TX Metro Area",32580,28369,70640,20.32666694303464,3173,25.166264946078638,30.65137956969507,23.855688541191657,506571,18862,1856,12239,13297,11412,3326,8468,5152,7926,23780,5558,15364,27596,108623,292,24120,18851,154,5036,68132,24345
"McComb, MS Micro Area",32620,4628,3161,15.152377429360042,169,34.25717781635034,17.818626753549783,32.771818000739835,35143,1998,0,1180,1884,907,5,17,75,65,97,67,571,673,10041,7,1756,714,0,239,4588,2301
"McMinnville, TN Micro Area",32660,1821,2939,15.11876027564977,176,47.27323608633295,15.209710707664323,22.39829293035296,28587,2856,0,546,814,620,35,47,36,87,112,279,560,702,10658,0,988,508,2,219,3083,1499
"McPherson, KS Micro Area",32700,2183,4304,33.085409075026206,465,24.145160485199423,7.672340637947387,35.09708980182699,20033,695,0,79,310,213,7,40,0,5,23,3,535,217,4142,6,1617,99,0,242,2948,1900
"Meadville, PA Micro Area",32740,4724,7699,21.224073444406663,542,46.81740904454267,8.974838490309418,22.983679020741242,58820,2903,27,1057,943,578,0,6,4,16,47,132,1389,559,24635,15,3676,501,5,567,5470,3325
"Medford, OR Metro Area",32780,14181,30128,30.58352103737073,1810,26.020757370235327,8.706771034259617,34.68895055813432,160714,7036,14,2438,2906,3620,5,244,85,207,615,256,470,951,34783,46,12902,2094,42,4312,27587,13982
"Memphis, TN-MS-AR Metro Area",32820,67660,164482,30.737222680936554,12142,29.059190647927124,10.525131671012579,29.678455000123737,888958,37907,162,14286,18350,16981,640,969,966,1394,5815,3024,6338,10620,220417,245,79250,13520,254,17367,143714,52455
"Menomonie, WI Micro Area",32860,3500,5181,29.231422805961692,530,33.40531737883669,5.551031967996602,31.81222784720501,28247,880,0,264,236,579,0,2,0,0,28,9,128,56,8556,5,2262,259,2,284,3553,1933
"Merced, CA Metro Area",32900,12841,17760,14.780215294542995,811,28.682807926011456,28.110749565562205,28.426227213883347,171486,5909,547,3777,3393,6542,1017,1934,1176,1488,8947,902,3722,5003,43278,141,5378,9581,36,1397,23942,11964
"Meridian, MS Micro Area",32940,7656,7748,20.5140615872486,400,28.630559959943252,14.573979804723358,36.28139864808479,59915,3188,26,1643,1975,2038,0,24,59,73,159,255,516,766,13966,0,3307,1198,0,836,9463,4619
"Mexico, MO Micro Area",33020,1613,1765,16.12020266728787,83,41.4303185603634,11.554364917593617,30.895113854755113,17171,1012,0,322,255,424,0,0,0,0,45,13,503,238,6102,0,758,179,5,162,2347,1345
"Miami, OK Micro Area",33060,2123,1973,14.968963060954513,89,35.3108781927343,12.765849191004374,36.95430955530681,19654,1354,10,507,573,304,43,23,16,38,64,76,296,313,5586,10,690,236,0,190,3734,1406
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",33100,422492,967281,35.613802456862246,62396,25.690775231281766,13.14812732991744,25.547294981938556,4429878,133237,3650,48303,54559,144216,7346,15058,10004,16862,58580,19306,35140,57146,1004833,1153,399532,108617,2506,148439,491377,217845
"Michigan City-La Porte, IN Metro Area",33140,7303,11407,21.708216513854158,513,39.28923240130332,9.505948321588239,29.496602763254277,79182,6771,20,1424,1722,1563,19,24,31,194,362,477,591,770,24339,49,4347,281,0,922,11048,5005
"Middlesborough, KY Micro Area",33180,1521,1489,13.943108783622945,70,38.240895024994046,20.631992382766008,27.184003808616996,16804,1334,7,743,452,236,0,22,14,116,92,6,770,666,5092,0,534,343,0,250,2174,873
"Midland, MI Metro Area",33220,6585,13148,36.349286314021825,1335,27.445843828715365,4.965575146935349,31.239294710327453,59550,2144,2,399,784,701,0,24,4,7,4,39,289,381,14200,14,6303,307,2,860,7426,4592
"Midland, TX Metro Area",33260,9124,23158,30.56219933752719,876,24.034044243075172,13.832504490193779,31.571251929203857,110797,6024,214,1452,1628,3161,260,276,162,124,1206,133,824,1192,20605,79,8233,4551,64,1595,17491,8365
"Milledgeville, GA Micro Area",33300,2090,3839,24.128393623990103,549,33.659654996724655,14.786374554188805,27.425576825096442,27478,2392,0,634,717,911,73,12,0,74,88,39,333,744,6857,0,1731,429,9,511,4001,1445
"Milwaukee-Waukesha, WI Metro Area",33340,96193,271178,38.788676466892355,16548,25.624273383665525,7.319452420999527,28.26759772844259,1074329,32679,234,10218,15467,16575,614,1314,868,1244,4976,1776,5200,7384,242610,104,105078,12556,105,23914,145812,61682
"Minden, LA Micro Area",33380,2216,2218,12.798689363062415,96,43.88236234316311,13.757692000319668,29.561256293454807,25026,1887,0,859,698,309,0,0,9,56,82,218,448,409,9095,0,756,348,7,133,3575,1607
"Mineral Wells, TX Micro Area",33420,1549,2477,18.676514923123307,57,35.81549593005728,13.857903728268518,31.6500854185509,19902,1549,0,375,370,500,50,93,6,37,87,74,304,427,5579,0,1097,435,0,86,2758,1992
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",33460,265698,733550,44.86287002987295,46937,20.168225017301435,5.792603819507304,29.176301133318304,2524357,69707,692,14522,18851,33582,880,1320,1173,1987,7188,1931,8917,11209,439411,303,284199,43129,542,67813,317069,153747
"Minot, ND Metro Area",33500,5893,9992,28.766517165785082,382,29.259266708231934,5.289515496470305,36.684700629512676,49721,1889,9,404,385,473,2,10,4,0,23,66,499,192,12659,0,3358,551,12,571,8183,4164
"Missoula, MT Metro Area",33540,7506,24184,45.08598507341041,2169,21.042765494195862,3.558163633611606,30.31308579878212,85887,2812,0,473,471,760,0,0,0,27,25,22,638,343,15261,0,9196,297,0,3174,13895,4634
"Mitchell, SD Micro Area",33580,2056,3084,23.998376529251463,76,34.81185133646431,8.355076245144083,32.83469588914014,17247,628,0,78,376,299,0,0,0,26,73,18,360,99,5376,6,814,106,0,165,2696,911
"Moberly, MO Micro Area",33620,1796,2204,17.095663339753692,84,43.524193077686334,10.249226638650558,29.130916943909412,17133,1494,0,429,270,196,0,1,0,7,9,32,260,304,5963,0,578,248,0,63,1693,1502
"Mobile, AL Metro Area",33660,24417,45444,25.150224087237017,2407,33.81968827609831,10.991693071850648,30.03839456481402,280248,14010,72,5519,7828,5369,79,96,184,212,506,745,2382,5003,80769,0,18428,2798,11,4204,43919,15846
"Modesto, CA Metro Area",33700,28296,46297,19.136945701036627,2009,29.347533218940114,19.886835798459945,31.628685281563314,352585,12662,327,6119,7372,11860,834,1979,1388,1489,12625,1364,5367,5273,90813,121,14337,13888,112,4831,56559,26663
"Monroe, LA Metro Area",33740,8996,22943,23.864875168036598,1198,33.81197290012774,13.515158405842659,28.807993525993002,149521,8728,11,3955,4563,3130,113,102,102,299,488,626,2278,2652,41828,0,9168,1842,47,2374,23787,10291
"Monroe, MI Metro Area",33780,12860,16562,23.409284381735525,754,33.16639800039847,8.24473383927116,35.179583778594846,110422,4995,3,2015,2219,1858,15,2,9,72,200,219,750,896,31628,69,7367,773,4,1166,15495,10491
"Montgomery, AL Metro Area",33860,21415,47143,30.436837252189946,3461,29.64999231596742,10.90517903795912,29.007991393883508,260280,12994,20,6645,5865,4004,38,115,181,353,865,1016,2190,3887,64179,121,23824,3012,72,4793,39504,14583
"Monticello, IN Micro Area",33900,1600,2204,18.31723975506359,100,41.19759773904851,9.703250117757891,30.781912388130007,16984,1093,0,205,394,263,30,0,28,26,81,64,108,210,5904,0,749,239,0,58,2001,1627
"Monticello, NY Micro Area",33910,5728,9476,29.68562256774448,752,29.811158336471728,12.34554617026237,28.15767292552142,55761,2997,111,1286,1262,798,36,109,85,110,260,95,658,783,13626,12,5180,1226,53,1145,6632,3341
"Montrose, CO Micro Area",33940,2304,5881,28.26628352490421,399,33.58876117496807,9.038952745849297,29.106002554278415,31320,1670,0,325,598,353,0,12,17,94,236,353,171,112,8850,0,2106,560,0,467,4537,2275
"Morehead City, NC Micro Area",33980,5896,10634,32.33756108691932,769,23.611401623913746,7.296202627925992,36.75483466124094,52589,2218,0,1066,565,727,0,11,8,15,18,55,342,605,10199,39,4564,350,36,1039,8692,4741
"Morgan City, LA Micro Area",34020,2074,2907,13.121567913594854,52,46.021055186432456,19.41385273505051,21.44352416492218,32961,2429,0,1137,1298,636,6,158,77,145,554,315,498,1096,12740,0,1248,479,0,118,3564,1430
"Morgantown, WV Metro Area",34060,5643,17428,39.48171728844602,3775,31.118766761877765,8.273553845147505,21.125962104528707,91726,5127,17,1476,1469,1263,23,67,17,139,237,272,719,1197,23417,0,12078,693,0,2934,9284,4451
"Morristown, TN Metro Area",34100,7555,10387,20.5205252573051,845,37.642257186797586,12.007571276469893,29.829646279427426,84530,6026,0,1564,1830,1507,68,56,48,136,626,308,1334,1390,25793,14,4773,1269,0,1341,10708,6952
"Moscow, ID Micro Area",34140,2093,6424,44.89985633398123,950,21.482295275923267,3.0592411053832502,30.558607284712245,23666,1027,0,102,125,201,9,0,1,0,25,0,51,45,4057,0,2575,165,0,677,3590,1549
"Moses Lake, WA Micro Area",34180,6551,7995,18.16451305876849,214,29.043862620787557,18.583942312345737,34.20768200809821,61989,3584,107,869,949,1305,146,415,107,136,1995,261,1578,2053,14420,0,2468,1563,36,583,9548,5106
"Moultrie, GA Micro Area",34220,2655,2608,15.696479480209508,177,36.86932307896307,20.281111184777565,27.153086256049857,30166,1599,62,667,956,835,134,71,144,76,657,112,446,1264,9523,0,1465,694,0,485,3711,1825
"Mountain Home, AR Micro Area",34260,3651,4317,18.74863948751438,208,34.64875454799888,10.59800354510682,36.004602419379914,32157,2100,0,450,822,848,41,6,2,0,125,185,250,340,9042,0,1240,339,0,264,4894,3033
"Mountain Home, ID Micro Area",34300,2275,2919,21.202771462596083,30,30.399480350763238,11.881563278120602,36.51618490852008,18474,1113,0,193,319,300,14,22,9,16,169,302,55,199,4503,0,754,597,0,214,3008,1463
"Mount Airy, NC Micro Area",34340,5800,6590,19.401277904867083,263,28.522126686124476,17.35031947621677,34.72627593279167,50708,2928,9,1626,1280,955,11,71,123,78,623,432,1052,1582,11535,14,2675,942,0,310,7208,4601
"Mount Pleasant, MI Micro Area",34380,3410,6201,30.804002094760342,1118,30.43466277114743,8.048289738430583,30.71304539566164,36281,1366,0,623,457,425,9,17,5,0,52,68,476,334,9676,0,3325,430,24,532,4750,2983
"Mount Pleasant, TX Micro Area",34420,2839,4252,16.427762587344986,178,35.42961305824841,19.001850470903417,29.14077388350319,36207,1896,0,773,761,879,36,267,93,147,1167,185,758,844,10932,0,1299,941,29,219,5249,2463
"Mount Sterling, KY Micro Area",34460,2328,3328,17.75925925925926,159,40.50617283950617,16.89506172839506,24.839506172839506,32400,3013,3,1052,710,698,9,16,46,142,193,286,1542,411,10111,0,1893,366,0,374,3520,2200
"Mount Vernon, IL Micro Area",34500,3438,2996,18.37319092949462,149,32.71031653896757,8.62162371333488,40.29486881820293,25842,1578,0,480,561,333,0,15,12,20,7,31,390,236,6875,0,1319,143,0,284,4063,2912
