NAME,metropolitan statistical area/micropolitan statistical area,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,masters_degree,no_schooling,nursery_school,professional_degree,some_college_1_or_more_years,some_college_less_1_year
"Buffalo-Cheektowaga, NY Metro Area",15380,101705,162113,35.122666844488634,13860,27.05823871386223,7.639110324383634,30.1799841172655,824795,37816,114,8732,10423,15294,150,521,620,629,1187,1400,4957,4988,185359,217,95469,13396,379,18248,96381,50837
"Burley, ID Micro Area",15420,2762,3412,18.963527642759733,114,30.71301185439032,16.19750323460503,34.125957268244925,28597,1531,6,582,686,486,82,156,148,170,590,95,305,678,7252,0,1399,604,44,498,4228,2769
"Burlington, IA-IL Micro Area",15460,4025,4947,23.150252525252526,294,37.32954545454545,6.319444444444445,33.20075757575758,31680,1827,0,357,391,545,0,0,6,0,19,69,119,207,9999,0,1621,289,0,472,3758,2735
"Burlington, NC Metro Area",15500,13252,22130,27.708955922794647,1500,28.725532766298006,11.458200301397154,32.107311009510184,117453,6359,55,2207,2095,2016,183,342,283,531,1173,284,1136,1711,27380,0,7700,1442,0,1215,16613,7846
"Burlington-South Burlington, VT Metro Area",15540,13752,44081,49.11883620606272,4766,22.32410577834523,5.0374325343857,23.51962548120635,155079,3757,15,920,1528,1411,0,34,11,60,319,191,1270,922,30863,5,22471,1060,66,4855,15304,7418
"Butte-Silver Bow, MT Micro Area",15580,2445,4438,27.707829225279905,224,32.51855801172948,5.9918795882377065,33.7817331747529,24383,1738,0,145,230,431,0,10,0,3,1,9,234,120,6191,15,1754,263,0,340,3852,1940
"Cadillac, MI Micro Area",15620,3610,4551,20.1698944682825,225,37.35069001507596,9.648614171402064,32.83080134523947,34492,2014,0,742,831,554,0,20,6,7,22,42,375,353,10869,7,1889,369,0,292,4671,3043
"Calhoun, GA Micro Area",15660,2813,4103,17.65194622085704,252,34.58885140238683,20.514628128304548,27.244574248451585,39718,3192,9,1687,1440,721,41,797,50,69,507,302,705,861,10546,20,2066,939,0,590,5926,2082
"Cambridge, MD Micro Area",15700,1814,2521,18.804074500277032,261,40.11848442228189,13.182457486254956,27.894983591186122,23463,1019,0,547,683,599,16,20,35,0,33,204,255,256,8394,0,1370,433,12,260,3257,1474
"Cambridge, OH Micro Area",15740,2569,2732,15.349493299677047,74,41.367534058428305,14.313820112105127,28.969152529789525,26939,1314,0,635,1073,717,0,9,24,201,94,49,619,181,9830,0,1214,254,0,115,3171,2064
"Camden, AR Micro Area",15780,1534,1834,15.629757967133932,47,42.32162545282721,11.513624192786267,30.534992387252586,19047,1080,0,652,346,549,22,48,8,38,113,9,82,258,6981,0,906,68,0,190,3077,1205
"Campbellsville, KY Micro Area",15820,1871,3080,20.245398773006134,206,38.57165329557968,12.509831681610823,28.673116249803364,25428,1986,5,522,461,419,0,8,14,9,51,302,746,330,7822,0,1387,311,3,475,3848,1572
"Cañon City, CO Micro Area",15860,2941,5758,21.036744040803583,166,39.934422816696156,9.438430311231393,29.590402831268865,38428,4840,0,398,1172,734,5,12,66,286,79,76,267,375,10506,0,1853,154,3,307,5484,2946
"Canton, IL Micro Area",15900,2959,2928,17.63906616708527,76,37.66624119899535,9.103635689875242,35.59105694404414,24287,1453,0,529,581,313,4,0,6,0,20,36,197,422,7695,0,1058,101,2,222,3496,2189
"Canton-Massillon, OH Metro Area",15940,27272,44111,24.233001290029105,2033,37.753074924748304,7.4203327066800755,30.593591078542516,281389,10043,22,3336,4819,4499,85,187,34,56,247,304,2826,2411,96190,120,18755,1914,20,3290,36414,22401
"Cape Coral-Fort Myers, FL Metro Area",15980,58811,112874,30.759320033801636,8353,29.974115415578417,9.62029831441853,29.64626623620142,599971,23115,305,6841,7992,12087,683,1799,905,1065,4097,2218,4744,5826,156721,52,49326,8908,197,13994,75004,44054
"Cape Girardeau, MO-IL Metro Area",16020,3912,12379,30.37256430241621,937,34.42556508183944,8.291504286827747,26.910366328916602,64150,2770,0,1237,1362,597,9,27,31,19,57,61,543,775,19314,0,5108,595,6,1060,8943,4408
"Carbondale, IL Micro Area",16060,2811,5798,35.05219469249151,1219,22.890202490252797,7.92667588982518,34.13092692743051,31804,1505,0,475,581,396,9,6,4,92,50,71,313,252,5775,8,3288,263,1,843,5558,2486
