NAME,metropolitan statistical area/micropolitan statistical area,labor_force_total,total_unemployed,unemployment_rate
"Okeechobee, FL Micro Area",36380,32774,965,2.9444071520107404
"Oklahoma City, OK Metro Area",36420,1134459,34094,3.005309138540926
"Olean, NY Micro Area",36460,61619,1797,2.916308281536539
"Olympia-Lacey-Tumwater, WA Metro Area",36500,241254,7504,3.1104147496000065
"Omaha, NE-IA Metro Area",36540,753796,17597,2.3344512308369905
"Oneonta, NY Micro Area",36580,51643,1491,2.887128942935151
"Ontario, OR-ID Micro Area",36620,44666,1012,2.265705458290422
"Opelousas, LA Micro Area",36660,62847,1834,2.9181981637946124
"Orangeburg, SC Micro Area",36700,67452,3326,4.930913835023424
"Orlando-Kissimmee-Sanford, FL Metro Area",36740,2206727,73671,3.3384736761729026
"Oshkosh-Neenah, WI Metro Area",36780,140333,2047,1.4586732985113977
"Oskaloosa, IA Micro Area",36820,17389,383,2.202541836793375
"Othello, WA Micro Area",36830,14194,354,2.4940115541778214
"Ottawa, IL Micro Area",36837,120491,4078,3.3844851482683356
"Ottawa, KS Micro Area",36840,20776,333,1.6028109356950326
"Ottumwa, IA Micro Area",36900,27962,644,2.3031256705528933
"Owatonna, MN Micro Area",36940,29291,597,2.0381687207674712
"Owensboro, KY Metro Area",36980,87881,2484,2.8265495385805806
"Owosso, MI Micro Area",37020,55893,1436,2.5691947113234215
"Oxford, MS Micro Area",37060,57480,818,1.4231036882393875
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",37100,675257,23547,3.4871167570273247
"Ozark, AL Micro Area",37120,39224,1299,3.311747909443198
"Paducah, KY-IL Metro Area",37140,83130,1587,1.9090581017683146
"Pahrump, NV Micro Area",37220,45739,1782,3.896018714882267
"Palatka, FL Micro Area",37260,60154,2027,3.3696844765102902
"Palestine, TX Micro Area",37300,48035,1157,2.408660351826793
"Palm Bay-Melbourne-Titusville, FL Metro Area",37340,521840,14187,2.718649394450406
"Pampa, TX Micro Area",37420,17103,505,2.9526983570133893
"Panama City-Panama City Beach, FL Metro Area",37460,168421,3598,2.136313167597865
"Paragould, AR Micro Area",37500,36458,1609,4.4132974930056506
"Paris, TN Micro Area",37540,26516,451,1.7008598581988235
"Paris, TX Micro Area",37580,49103,1027,2.091521902938721
"Parkersburg-Vienna, WV Metro Area",37620,72543,2186,3.0133851646609595
"Payson, AZ Micro Area",37740,44489,1521,3.418822630313111
"Pella, IA Micro Area",37800,26563,323,1.2159771110190867
"Pensacola-Ferry Pass-Brent, FL Metro Area",37860,419486,12888,3.0723313769708644
"Peoria, IL Metro Area",37900,290218,9145,3.1510795333163344
"Peru, IN Micro Area",37940,29224,1049,3.5895154667396656
"Petoskey, MI Micro Area",37950,28755,617,2.1457137889062774
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",37980,5055689,197394,3.904393644466659
"Phoenix-Mesa-Chandler, AZ Metro Area",38060,3951305,118176,2.990809365513419
"Picayune, MS Micro Area",38100,45473,1434,3.153519671013569
"Pierre, SD Micro Area",38180,16271,59,0.3626083215536845
"Pikeville, KY Micro Area",38210,75555,2146,2.840315002316194
"Pine Bluff, AR Micro Area",38220,59509,2116,3.5557646742509537
"Pinehurst-Southern Pines, NC Metro Area",38240,82911,2023,2.4399657464027693
"Pittsburg, KS Micro Area",38260,31335,704,2.2466890059039413
"Pittsburgh, PA Metro Area",38300,2036104,63618,3.124496587600633
"Pittsfield, MA Metro Area",38340,109698,3780,3.4458239894984413
"Plainview, TX Micro Area",38380,28587,688,2.4066883548466085
"Platteville, WI Micro Area",38420,41974,736,1.7534664316005149
"Plattsburgh, NY Micro Area",38460,66347,1507,2.271391321386046
"Plymouth, IN Micro Area",38500,36227,640,1.7666381428216522
"Pocatello, ID Metro Area",38540,68618,1965,2.8636800839429886
"Ponca City, OK Micro Area",38620,34087,1202,3.526271012409423
"Ponce, PR Metro Area",38660,231479,13632,5.889087131014045
"Pontiac, IL Micro Area",38700,28922,623,2.1540695664200262
"Poplar Bluff, MO Micro Area",38740,33537,907,2.7044756537555537
"Port Angeles, WA Micro Area",38820,66470,1876,2.8223258612908078
"Portland-South Portland, ME Metro Area",38860,469008,10564,2.2524136048852044
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",38900,2053137,68018,3.312881702487462
"Port Lavaca, TX Micro Area",38920,15961,458,2.8694943925819185
"Port St. Lucie, FL Metro Area",38940,423514,12599,2.9748721411806933
"Portsmouth, OH Micro Area",39020,59105,1935,3.2738347009559257
"Port Townsend, WA Micro Area",39040,29896,983,3.2880652930157876
"Pottsville, PA Micro Area",39060,118332,3565,3.012710002366224
"Prescott Valley-Prescott, AZ Metro Area",39150,209074,4252,2.0337296842266377
"Price, UT Micro Area",39220,15784,493,3.1234161175874307
"Providence-Warwick, RI-MA Metro Area",39300,1385850,50909,3.6734855864631815
"Provo-Orem-Lehi, UT Metro Area",39340,496956,12520,2.5193377280886033
"Pueblo, CO Metro Area",39380,135926,4068,2.9928049085531834
"Pullman, WA Micro Area",39420,40563,1634,4.0283016542168975
"Punta Gorda, FL Metro Area",39460,174984,4137,2.3642161569057745
"Putnam, CT Micro Area",39480,80298,3275,4.07855737378266
"Quincy, IL-MO Micro Area",39500,60299,1486,2.464385810709962
"Racine-Mount Pleasant, WI Metro Area",39540,157246,4261,2.7097668621141398
"Raleigh-Cary, NC Metro Area",39580,1148453,33046,2.8774359943332466
"Rapid City, SD Metro Area",39660,122132,2528,2.069891592702977
"Raymondville, TX Micro Area",39700,15904,645,4.055583501006036
"Reading, PA Metro Area",39740,346504,11745,3.3895712603606305
"Red Bluff, CA Micro Area",39780,51392,1839,3.5783779576587795
"Redding, CA Metro Area",39820,146605,5115,3.4889669520139153
"Red Wing, MN Micro Area",39860,38566,898,2.3284758595654202
"Reno, NV Metro Area",39900,453621,14962,3.298348180529561
"Rexburg, ID Micro Area",39940,54836,2931,5.345028813188416
"Rice Lake, WI Micro Area",39960,37889,727,1.9187627015756552
"Richmond, IN Micro Area",39980,53121,1696,3.1927109805914795
"Richmond, VA Metro Area",40060,1074741,32887,3.0599930587927697
"Richmond-Berea, KY Micro Area",40080,101146,3314,3.2764518616653153
"Rifle, CO Micro Area",40090,63223,1442,2.2808155259952865
"Rio Grande City-Roma, TX Micro Area",40100,46794,2917,6.233705175877249
"Riverside-San Bernardino-Ontario, CA Metro Area",40140,3614279,150760,4.171233045373642
