NAME_x,bike_percent,walk_percent,transit_percent,car_percent,taxi_motorcycle_other_percent,wfh_percent,metropolitan statistical area/micropolitan statistical area_x,CBSAFP,NAME_y,metropolitan statistical area/micropolitan statistical area_y,associates_degree,bachelors_degree,bachelors_plus_percent,doctorate_degree,edu_high_school_grad,edu_less_than_hs,edu_some_college,education_total,ged_or_alternative,grade_1,grade_10,grade_11,grade_12_no_diploma,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,high_school_diploma,kindergarten,labor_force_total,masters_degree,median_age,median_income,median_mortgage_burden,median_rent,median_rent_burden,mortgage_10_15,mortgage_10_15_pct,mortgage_15_20,mortgage_15_20_pct,mortgage_20_25,mortgage_20_25_pct,mortgage_25_30,mortgage_25_30_pct,mortgage_30_35,mortgage_30_35_pct,mortgage_35_40,mortgage_35_40_pct,mortgage_40_50,mortgage_40_50_pct,mortgage_less_10,mortgage_less_10_pct,mortgage_over_50,mortgage_over_50_pct,mortgage_total,no_schooling,nursery_school,population,professional_degree,rent_burden_less_10,rent_burden_less_10_pct,rent_burden_less_15,rent_burden_less_15_pct,rent_burden_less_20,rent_burden_less_20_pct,rent_burden_less_25,rent_burden_less_25_pct,rent_burden_less_30,rent_burden_less_30_pct,rent_burden_less_35,rent_burden_less_35_pct,rent_burden_less_40,rent_burden_less_40_pct,rent_burden_less_50,rent_burden_less_50_pct,rent_burden_over_50,rent_burden_over_50_pct,some_college_1_or_more_years,some_college_less_1_year,total_rent_burden,total_unemployed,unemployment_rate
"Alexandria, MN Micro Area",0.7,2.0,0.3,85.9,0.5,10.7,10820,10820,"Alexandria, MN Micro Area",10820,4893,5627,29.03626428216592,322,29.973032432048825,3.974167908594138,37.01653537719112,28182,819,0,183,314,231,0,0,0,2,31,0,114,104,7628,1,31755,1814,44.3,77264,20.5,896,24.6,1459,17.680562287930197,2019,24.466795928259817,1484,17.983519146873487,754,9.13717886572952,542,6.568104701890451,396,4.798836645661657,403,4.883664566165778,502,6.0833737275811925,671,8.131362094037808,8252,140,0,39354,420,160,3.898635477582846,310,7.553606237816764,604,14.717348927875245,917,22.344054580896685,363,8.845029239766083,421,10.258284600389864,119,2.899610136452241,236,5.750487329434698,695,16.93469785575049,3454,2085,4104,547,1.7225633758463237
"Alice, TX Micro Area",0.0,1.2,0.0,90.0,0.7,8.1,10860,10860,"Alice, TX Micro Area",10860,1498,3434,15.05005524491914,60,36.3042823182777,22.841262932333343,25.804399504469817,29867,2073,0,1285,1197,856,102,251,184,173,388,452,363,1053,8770,0,35124,882,35.7,45939,21.7,834,32.8,557,14.853333333333332,766,20.42666666666667,405,10.8,386,10.293333333333331,180,4.8,312,8.32,236,6.293333333333333,395,10.533333333333331,468,12.48,3750,518,0,45850,119,379,6.674885523071504,243,4.2796759422331805,628,11.060232476224025,469,8.25995068686157,191,3.363860514265586,486,8.559351884466361,164,2.8883409651285663,469,8.25995068686157,1334,23.49418809439944,4043,2166,5678,1025,2.9182325475458377
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.2,2.1,1.2,83.1,1.5,11.9,10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,57524,125073,32.7301738744222,8984,33.23468934546232,8.360612590679542,25.67452418943594,607910,21893,242,8363,9826,9320,403,393,696,1058,1391,1732,4793,5195,180144,49,709620,54797,41.4,82602,20.6,1309,30.7,26856,18.42354393908212,31238,21.42964944776017,23386,16.043081566851892,16214,11.123001989435412,9019,6.187144131165534,6828,4.684091376826507,7162,4.913219455306304,11923,8.179323591959937,12776,8.764492007957742,145770,7231,133,866764,10116,3526,3.432732653796353,8910,8.674318759309559,11566,11.260064059503296,11898,11.583282222027512,11046,10.75381874470633,9278,9.032584674396643,6426,6.256023832471742,9440,9.190299560929544,24478,23.83052464538489,63170,35384,102717,24321,3.427327301936248
"Alma, MI Micro Area",0.6,3.5,0.6,87.7,0.5,7.1,10940,10940,"Alma, MI Micro Area",10940,2497,3738,19.019415434218825,214,40.17312679610289,8.134155744024673,32.673302025653605,28534,2370,3,349,562,459,16,0,1,3,43,14,281,309,9093,8,34425,1355,39.7,61128,18.7,808,30.2,1347,21.19257394587791,1564,24.60667086217747,1058,16.645689112649464,529,8.322844556324732,262,4.1220893643801135,152,2.391441157960982,184,2.89490245437382,652,10.25802391441158,592,9.314033983637508,6356,264,9,41478,120,183,5.962854349951124,216,7.038123167155426,191,6.223525578364288,410,13.359400456174647,351,11.436950146627565,502,16.357119582926035,175,5.702183121537961,131,4.268491365265559,578,18.83349625285109,4443,2383,3069,853,2.477850399419027
"Alpena, MI Micro Area",0.9,2.0,0.8,85.3,2.9,8.1,10980,10980,"Alpena, MI Micro Area",10980,3142,2435,17.737527215453746,104,36.086533561865934,6.902302311576412,39.27363691110391,21587,1213,0,256,307,374,0,5,8,12,0,0,221,156,6577,13,24124,1033,47.6,51909,19.1,660,28.8,945,19.593613933236576,998,20.692515032137678,652,13.51855691478333,462,9.57910014513788,274,5.6811113414887,186,3.856520837652913,165,3.4211071946921003,632,13.10387725482065,489,10.138917686087495,4823,137,1,28908,257,125,4.770992366412214,146,5.572519083969466,218,8.3206106870229,296,11.297709923664122,465,17.748091603053435,254,9.69465648854962,180,6.870229007633588,259,9.885496183206106,329,12.557251908396946,3363,1973,2620,914,3.788758083236611
"Altoona, PA Metro Area",0.1,3.4,0.6,89.2,0.7,5.9,11020,11020,"Altoona, PA Metro Area",11020,7928,14289,24.08435836240132,597,45.2118138424821,6.782403157701487,23.92142463741509,87152,4138,0,1138,1178,1119,21,13,72,124,128,60,761,778,35265,28,100226,4857,42.9,60594,17.9,854,29.5,5039,25.291106203573584,4044,20.297129090544068,3160,15.86026902228468,1603,8.04557317807669,763,3.8295522987351935,519,2.6048986147359967,694,3.4832362979321423,2555,12.823730174663725,1505,7.55370407548685,19924,489,2,121854,1247,513,3.683492496589359,1262,9.061535147555109,1596,11.45975443383356,1287,9.241042579162777,1719,12.34293099734329,1367,9.815466360307315,1169,8.393767501974581,1057,7.589574208372227,2423,17.397860271415237,8008,4912,13927,2628,2.6220741125057367
"Altus, OK Micro Area",0.3,2.0,0.0,90.6,1.9,5.2,11060,11060,"Altus, OK Micro Area",11060,1941,2498,24.19861722187304,145,27.09616593337524,13.343808925204272,35.36140791954745,15910,805,0,282,402,276,30,88,42,127,147,208,132,158,3506,0,19145,1037,35.0,61497,18.6,865,23.7,721,23.27307940606843,593,19.141381536475148,623,20.10974822466107,229,7.391865719819238,107,3.453841187863137,57,1.8398967075532604,188,6.068431245965139,403,13.008392511297613,176,5.681084570690769,3098,231,0,24730,170,163,4.305335446381405,518,13.681986265187533,642,16.957210776545168,585,15.451664025356576,211,5.573164289487586,474,12.519809825673534,284,7.501320655044902,285,7.527733755942948,356,9.403063919704174,2637,1048,3786,588,3.0712979890310783
"Amarillo, TX Metro Area",0.2,1.3,0.4,90.4,1.5,6.2,11100,11100,"Amarillo, TX Metro Area",11100,16867,30214,25.56010859277144,1855,26.9951654679521,13.265207805530524,34.17951813374594,176439,10187,169,3326,3542,3381,287,273,395,485,2509,768,2029,2510,37443,0,209825,10962,36.3,66571,20.5,1044,27.8,6462,18.5545697303816,7721,22.16958107215666,5793,16.633646308898268,3191,9.162431446865938,2313,6.641398914635197,1269,3.643724696356275,1675,4.809486892353633,2623,7.531512906652884,3610,10.365521003818875,34827,3663,68,270207,2067,1688,4.596824705209554,3094,8.425696467961112,4851,13.21042455270826,5385,14.664633316086162,3460,9.422401350725742,2703,7.360910650581411,2003,5.45464448135944,3357,9.141907900111653,7362,20.048473625445933,28574,14865,36721,4289,2.0440843560109614
"Americus, GA Micro Area",0.0,2.5,0.0,86.6,3.3,7.6,11140,11140,"Americus, GA Micro Area",11140,1881,2550,20.955251565035937,388,35.358219336888475,15.6318108045444,28.054718293531185,21565,1544,0,659,667,561,0,59,8,78,56,173,366,328,6081,0,26662,1327,37.8,42821,20.5,841,29.6,693,17.874645344338404,667,17.204023729687904,549,14.16043332473562,377,9.724013412432294,284,7.325251483105494,197,5.08124838792881,190,4.900696414753676,496,12.793396956409596,371,9.569254578282177,3877,416,0,33713,254,271,5.185610409491007,733,14.026023727516264,337,6.448526597780329,234,4.477611940298507,695,13.298890164561804,591,11.308840413318023,326,6.238040566398776,305,5.836203597397628,937,17.92958285495599,3336,833,5226,723,2.711724551796564
"Ames, IA Metro Area",0.9,4.9,3.2,79.8,0.5,10.5,11180,11180,"Ames, IA Metro Area",11180,8775,19778,46.776310278390525,3728,20.013682182447717,3.2697623767905517,29.940245162371205,71626,1529,7,256,639,749,0,25,0,0,19,14,167,210,12806,0,106091,8299,30.0,71090,19.4,1002,29.7,3721,20.576199955762,4040,22.3401902234019,2962,16.379119663791197,2287,12.646538376465385,1122,6.204379562043796,464,2.56580402565804,574,3.174076531740765,1734,9.588586595885866,1172,6.48086706480867,18084,228,28,125261,1699,897,4.6933863541230645,1625,8.502511511092507,2333,12.206990372540812,2196,11.490163248221014,2121,11.097739640016744,1552,8.120552532440351,711,3.720175805776475,1538,8.047300125575555,5097,26.66910841356216,8546,4124,19112,2955,2.7853446569454525
"Amherst Town-Northampton, MA Metro Area",0.9,7.3,2.6,72.2,0.6,16.5,11200,11200,"Amherst Town-Northampton, MA Metro Area",11200,8836,24534,51.12008960716857,5434,20.364629170333625,4.515361228898311,23.999919993599487,99992,2640,12,517,709,1111,45,8,16,63,112,198,535,350,17723,1,136669,18276,38.7,86391,22.1,1332,31.4,3370,12.919797577058734,5431,20.821193068547768,4787,18.352246587946635,2871,11.006747431375556,1706,6.540407912896795,1490,5.71231406226039,1602,6.141696058886674,2131,8.169759239380463,2520,9.661094924091396,26084,838,0,156595,2872,636,3.2985840983351484,1167,6.052590633265909,2098,10.881178362118147,2135,11.073077122555883,2459,12.75348788963228,1933,10.02541361962554,1090,5.653233753436025,1689,8.759919091333437,4832,25.060940822571443,9976,5186,19281,4265,3.1206784274414825
"Amsterdam, NY Micro Area",0.4,2.5,0.2,86.4,2.5,7.9,11220,11220,"Amsterdam, NY Micro Area",11220,4767,3888,20.51536753535117,253,35.4066845857193,11.475984574032957,32.60196330489657,34228,1878,0,692,666,771,0,65,17,79,29,175,554,292,10241,13,39216,2412,40.1,62923,19.2,921,30.0,1318,19.760119940029984,1422,21.31934032983508,1077,16.146926536731634,479,7.181409295352324,285,4.272863568215892,289,4.332833583208396,339,5.082458770614692,796,11.934032983508246,637,9.550224887556222,6670,572,3,49461,469,350,5.93421498813157,373,6.3241776873516455,918,15.564598168870802,493,8.358765683282469,582,9.867751780264497,468,7.934893184130214,309,5.239064089521872,448,7.59579518480841,1482,25.127161749745675,3947,2445,5898,1131,2.8840269277845776
"Anchorage, AK Metro Area",0.5,2.4,1.2,83.0,3.1,9.8,11260,11260,"Anchorage, AK Metro Area",11260,25037,56529,33.991633500638216,3749,27.068750635394583,5.913405602015189,33.026210261952,265583,13664,67,1990,2677,4216,110,112,262,182,368,373,995,1459,58226,57,312587,23835,35.4,95918,22.1,1422,29.5,11455,16.820110714652806,12734,18.698148392875492,11690,17.165176277109673,7346,10.7866026459921,5404,7.935039572412375,3279,4.814765869344963,4051,5.94834295111816,4796,7.042274202311205,7097,10.420979986197375,68103,2793,44,399746,6163,1941,4.0113251219310575,3804,7.861453252872613,6146,12.701496238736876,6598,13.63561213524014,5050,10.43647185252542,4670,9.651153178474004,3814,7.8821195337687024,4264,8.81210217409275,9680,20.004959907415063,43375,19300,48388,9835,3.1463240633807543
"Anderson Creek, NC Micro Area",0.2,1.7,0.0,90.3,0.8,7.0,11360,11360,"Anderson Creek, NC Micro Area",11360,12124,14276,23.92306752147198,594,28.957456028266357,11.337651803868846,35.78182464639282,90001,4433,53,1750,1638,1527,2,104,66,195,533,215,1039,1311,21629,0,104990,5776,35.4,69012,20.9,1080,26.9,4364,19.63024605280914,4109,18.483199136341145,3712,16.69740452521254,2208,9.932076829652289,1284,5.775718591156493,828,3.7245288111196073,1128,5.07399577167019,1862,8.375691601817282,2543,11.438981602267106,22231,1771,0,136503,885,434,2.9249224962933007,1796,12.104057150559374,2025,13.64739183178326,1755,11.82773958754549,1690,11.38967515837714,1039,7.002291413937188,690,4.650222401940962,1228,8.276047984903625,2669,17.987599406928155,14491,5589,14838,2907,2.768835127154967
