NAME,metropolitan statistical area/micropolitan statistical area,median_age,median_income,median_rent,population
"Centralia, WA Micro Area",16500,42.4,69690,1044,83925
"Chambersburg, PA Metro Area",16540,42.2,74946,1071,156626
"Champaign-Urbana, IL Metro Area",16580,32.3,64558,1008,236196
"Charleston, WV Metro Area",16620,43.9,58089,872,207456
"Charleston-Mattoon, IL Micro Area",16660,38.2,56040,793,46689
"Charleston-North Charleston, SC Metro Area",16700,38.1,82272,1488,817756
"Charlotte-Concord-Gastonia, NC-SC Metro Area",16740,37.9,80201,1377,2712818
"Charlottesville, VA Metro Area",16820,39.3,90552,1528,222937
"Chattanooga, TN-GA Metro Area",16860,40.4,68666,1084,569333
"Cheyenne, WY Metro Area",16940,38.2,77884,1080,100661
"Chicago-Naperville-Elgin, IL-IN Metro Area",16980,38.4,88850,1378,9359555
"Chico, CA Metro Area",17020,36.3,68574,1369,209470
"Chillicothe, OH Micro Area",17060,41.0,59819,858,76748
"Cincinnati, OH-KY-IN Metro Area",17140,38.2,79490,1047,2255257
"Clarksburg, WV Micro Area",17220,42.9,58376,828,89717
"Clarksdale, MS Micro Area",17260,35.7,36259,719,20808
"Clarksville, TN-KY Metro Area",17300,31.9,66210,1141,328626
"Clearlake, CA Micro Area",17340,44.2,58738,1292,68139
"Cleveland, MS Micro Area",17380,36.6,37315,671,30163
"Cleveland, OH Metro Area",17410,41.6,68507,996,2171978
"Cleveland, TN Metro Area",17420,40.2,63490,939,127445
"Clewiston, FL Micro Area",17500,38.5,48979,950,53122
"Clinton, IA Micro Area",17540,42.5,65177,825,46383
"Clovis, NM Micro Area",17580,31.9,55193,954,66934
"Coamo, PR Micro Area",17620,43.7,21780,513,54358
"Coco, PR Micro Area",17640,43.3,21611,509,25397
"Cody, WY Micro Area",17650,44.8,70533,933,30109
"Coeur d'Alene, ID Metro Area",17660,40.8,77034,1330,177736
"Coldwater, MI Micro Area",17740,40.8,61958,900,44914
"College Station-Bryan, TX Metro Area",17780,28.4,59691,1146,273280
"Colorado Springs, CO Metro Area",17820,35.4,87180,1611,760782
"Columbia, MO Metro Area",17860,33.1,69463,1041,212850
"Columbia, SC Metro Area",17900,37.5,66146,1145,839868
"Columbus, GA-AL Metro Area",17980,36.1,57762,1030,326136
"Columbus, IN Metro Area",18020,37.7,80365,1110,82881
"Columbus, MS Micro Area",18060,37.4,51587,887,68323
"Columbus, NE Micro Area",18100,37.5,75501,877,44899
"Columbus, OH Metro Area",18140,36.6,79847,1208,2151847
"Concord, NH Micro Area",18180,42.6,93944,1293,155018
"Connersville, IN Micro Area",18220,43.9,56659,779,23390
"Cookeville, TN Micro Area",18260,39.5,53328,867,143819
"Coos Bay-North Bend, OR Micro Area",18300,48.6,60313,992,64832
"Corbin, KY Micro Area",18340,39.0,45067,735,149625
"Cordele, GA Micro Area",18380,40.4,42745,743,19995
"Corinth, MS Micro Area",18420,40.6,49404,728,34500
"Cornelia, GA Micro Area",18460,39.6,65622,939,46948
"Corning, NY Micro Area",18500,43.1,64740,878,93034
"Corpus Christi, TX Metro Area",18580,37.4,65801,1224,446797
"Corsicana, TX Micro Area",18620,37.4,59310,1039,53735
"Cortland, NY Micro Area",18660,36.5,67527,911,46401
"Corvallis, OR Metro Area",18700,33.8,76011,1359,96359
"Coshocton, OH Micro Area",18740,41.0,54687,723,36679
"Crawfordsville, IN Micro Area",18820,40.0,66571,827,38155
"Crescent City, CA Micro Area",18860,40.8,66780,1182,27293
"Crestview-Fort Walton Beach-Destin, FL Metro Area",18880,39.2,79150,1506,294127
"Crossville, TN Micro Area",18900,53.0,58475,829,62529
"Cullman, AL Micro Area",18980,41.1,60916,883,89463
"Cumberland, MD-WV Micro Area",19060,42.5,59413,774,94684
"Dallas-Fort Worth-Arlington, TX Metro Area",19100,35.5,87155,1509,7807555
"Dalton, GA Metro Area",19140,37.2,65715,878,143400
"Danville, IL Micro Area",19180,41.2,54537,802,73179
"Danville, KY Micro Area",19220,40.7,56209,761,55123
"Danville, VA Micro Area",19260,45.2,48994,827,102387
"Daphne-Fairhope-Foley, AL Metro Area",19300,43.7,75019,1211,239945
"Davenport-Moline-Rock Island, IA-IL Metro Area",19340,40.2,71925,899,381864
"Dayton-Kettering-Beavercreek, OH Metro Area",19430,39.1,69752,984,813608
