NAME,metropolitan statistical area/micropolitan statistical area,median_rent_burden,rent_burden_less_10,rent_burden_less_10_pct,rent_burden_less_15,rent_burden_less_15_pct,rent_burden_less_20,rent_burden_less_20_pct,rent_burden_less_25,rent_burden_less_25_pct,rent_burden_less_30,rent_burden_less_30_pct,rent_burden_less_35,rent_burden_less_35_pct,rent_burden_less_40,rent_burden_less_40_pct,rent_burden_less_50,rent_burden_less_50_pct,rent_burden_over_50,rent_burden_over_50_pct,total_rent_burden
"Alma, MI Micro Area",10940,30.2,183,5.962854349951124,216,7.038123167155426,191,6.223525578364288,410,13.359400456174649,351,11.436950146627565,502,16.357119582926035,175,5.702183121537961,131,4.268491365265559,578,18.83349625285109,3069
"Alpena, MI Micro Area",10980,28.8,125,4.770992366412214,146,5.572519083969466,218,8.3206106870229,296,11.297709923664122,465,17.748091603053435,254,9.694656488549619,180,6.870229007633588,259,9.885496183206106,329,12.557251908396946,2620
"Altoona, PA Metro Area",11020,29.5,513,3.6834924965893587,1262,9.061535147555109,1596,11.459754433833561,1287,9.241042579162777,1719,12.34293099734329,1367,9.815466360307317,1169,8.393767501974581,1057,7.589574208372227,2423,17.397860271415237,13927
"Altus, OK Micro Area",11060,23.7,163,4.305335446381405,518,13.681986265187533,642,16.957210776545168,585,15.451664025356576,211,5.573164289487586,474,12.519809825673534,284,7.501320655044902,285,7.527733755942948,356,9.403063919704174,3786
"Amarillo, TX Metro Area",11100,27.8,1688,4.596824705209554,3094,8.425696467961112,4851,13.210424552708261,5385,14.664633316086162,3460,9.422401350725742,2703,7.360910650581411,2003,5.45464448135944,3357,9.141907900111653,7362,20.048473625445933,36721
"Americus, GA Micro Area",11140,29.6,271,5.185610409491007,733,14.026023727516264,337,6.448526597780329,234,4.477611940298507,695,13.298890164561804,591,11.308840413318025,326,6.238040566398776,305,5.836203597397628,937,17.92958285495599,5226
"Ames, IA Metro Area",11180,29.7,897,4.6933863541230645,1625,8.502511511092507,2333,12.206990372540812,2196,11.490163248221014,2121,11.097739640016743,1552,8.120552532440351,711,3.720175805776475,1538,8.047300125575555,5097,26.66910841356216,19112
"Amherst Town-Northampton, MA Metro Area",11200,31.4,636,3.2985840983351484,1167,6.052590633265909,2098,10.881178362118147,2135,11.073077122555883,2459,12.75348788963228,1933,10.025413619625539,1090,5.653233753436025,1689,8.759919091333437,4832,25.060940822571443,19281
"Amsterdam, NY Micro Area",11220,30.0,350,5.93421498813157,373,6.3241776873516455,918,15.564598168870802,493,8.358765683282469,582,9.867751780264497,468,7.934893184130214,309,5.239064089521872,448,7.59579518480841,1482,25.127161749745675,5898
"Anchorage, AK Metro Area",11260,29.5,1941,4.0113251219310575,3804,7.8614532528726135,6146,12.701496238736876,6598,13.635612135240141,5050,10.43647185252542,4670,9.651153178474003,3814,7.8821195337687024,4264,8.81210217409275,9680,20.004959907415063,48388
"Anderson Creek, NC Micro Area",11360,26.9,434,2.9249224962933007,1796,12.104057150559374,2025,13.64739183178326,1755,11.82773958754549,1690,11.38967515837714,1039,7.002291413937188,690,4.650222401940962,1228,8.276047984903625,2669,17.987599406928155,14838
"Andrews, TX Micro Area",11380,21.3,171,10.640945861854387,310,19.290603609209708,92,5.7249533291848165,259,16.11698817672682,110,6.845052893590542,63,3.9203484754200373,30,1.8668326073428747,75,4.667081518357187,168,10.4542626011201,1607
"Angola, IN Micro Area",11420,24.0,131,4.802052785923753,387,14.186217008797655,395,14.479472140762464,401,14.699413489736072,251,9.200879765395895,249,9.127565982404692,118,4.325513196480939,116,4.252199413489736,425,15.5791788856305,2728
"Ann Arbor, MI Metro Area",11460,32.5,1968,3.436474121673535,5053,8.823426695536774,5834,10.187190053782217,5953,10.394984982887475,6006,10.487532304253683,4547,7.939861702870712,3105,5.4218760913599215,5155,9.001536634769854,16465,28.750785779143673,57268
"Anniston-Oxford, AL Metro Area",11500,27.9,726,5.432911771308838,1217,9.107236399012198,1830,13.694529671480954,1355,10.139938636533714,1390,10.401855870687719,927,6.937065030307565,619,4.632193369752302,955,7.146598817630771,2842,21.267679413305395,13363
"Appleton, WI Metro Area",11540,23.8,1220,4.713882771144855,3627,14.014141648313435,4932,19.05645067810363,3459,13.365016807696767,2928,11.313318650747654,2148,8.299524747884549,1229,4.7486573161778916,1794,6.93172597658514,3467,13.395927514392797,25881
"Arcadia, FL Micro Area",11580,30.5,223,6.1415587992288625,243,6.692371247590195,301,8.28972734783806,360,9.914624070503994,435,11.980170751858992,356,9.804461580831726,104,2.8642247314789318,470,12.944092536491326,701,19.305976315064722,3631
"Ardmore, OK Micro Area",11620,24.9,351,5.74656188605108,757,12.393582187295351,724,11.853307138179437,848,13.883431565160445,444,7.269155206286837,348,5.697445972495088,307,5.026195153896529,532,8.70988867059594,1022,16.73215455140799,6108
"Arecibo, PR Metro Area",11640,28.1,449,2.171810002902196,836,4.043726419657541,1295,6.263906355809229,1358,6.568636935281029,1366,6.607332881880623,607,2.9360549482441716,528,2.5539324755731836,687,3.323014414240108,2446,11.831285672825771,20674
"Arkadelphia, AR Micro Area",11660,27.7,386,12.320459623364188,246,7.851899138206192,367,11.714012128949888,278,8.873284391956592,218,6.958187041174593,189,6.032556654963294,137,4.372805617618895,233,7.436961378870093,733,23.396105968720075,3133
"Arkansas City-Winfield, KS Micro Area",11680,29.3,295,7.48921045950749,261,6.626047220106626,440,11.17034780401117,498,12.642802741812641,298,7.565371921807565,343,8.707793856308708,214,5.432850977405433,475,12.05889819751206,682,17.314039096217314,3939
"Asheville, NC Metro Area",11700,30.7,2216,4.313969786637595,2975,5.791543373306339,5499,10.70510823859212,6183,12.036676530135493,5623,10.946503659866066,5163,10.051004516430464,3404,6.626693661423453,4981,9.696698333592899,10495,20.43100763121009,51368
"Ashland, OH Micro Area",11740,24.6,224,5.134082053632821,604,13.843685537474215,682,15.6314462525785,489,11.207884483153792,250,5.730002292000917,278,6.37176254870502,154,3.529681411872565,257,5.890442356176942,988,22.644969057987623,4363
"Astoria, OR Micro Area",11820,29.7,159,2.2927180966113916,787,11.348233597692863,663,9.560201874549387,847,12.213410237923576,777,11.204037490987744,646,9.315068493150685,410,5.912040374909877,531,7.656813266041818,1568,22.609949531362652,6935
"Atchison, KS Micro Area",11860,24.4,90,5.7655349135169764,123,7.879564381806533,158,10.121716848174248,335,21.46060217809097,125,8.00768737988469,90,5.7655349135169764,102,6.534272901985906,49,3.1390134529147984,255,16.335682254964766,1561
"Athens, OH Micro Area",11900,33.9,227,2.6239741070396483,598,6.912495665241012,728,8.415212114206449,829,9.582707201479598,872,10.079759565368166,865,9.998844064270026,264,3.0516703271298113,534,6.172696798058028,2952,34.12322274881517,8651
"Athens, TN Micro Area",11940,26.1,419,6.30834086118639,792,11.924119241192411,783,11.788617886178862,802,12.07467630231858,492,7.4074074074074066,351,5.284552845528456,327,4.923215898825655,730,10.990665462210178,1115,16.7871123155676,6642
"Athens, TX Micro Area",11980,30.4,179,2.3374249151214417,721,9.414990859232175,782,10.211543483938366,859,11.217027944633063,701,9.15382606424654,481,6.281013319404543,728,9.506398537477148,308,4.021937842778794,1807,23.596239226952207,7658
"Athens-Clarke County, GA Metro Area",12020,34.4,1279,3.3518528224749726,3020,7.914460925625033,3702,9.701766339954924,3873,10.149903034750249,3440,9.015147544420566,2582,6.766602023166833,2378,6.231982808323287,3171,8.310183971906286,11757,30.81136327899785,38158
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,31.6,22424,2.8747243731090713,55021,7.053612635249475,87814,11.257627813958258,98208,12.59012358340598,83874,10.75252551151223,68788,8.818522127070407,52715,6.757986769909236,73200,9.384134146966822,197562,25.327162709604632,780040
"Atlantic City-Hammonton, NJ Metro Area",12100,32.9,1385,3.136677612954365,2862,6.481712150379345,4346,9.842599932057524,5059,11.457366096704789,4590,10.395198731740459,3654,8.275393500169855,2567,5.813611142565961,3614,8.184803533008719,12693,28.74646132940777,44155
"Auburn, IN Micro Area",12140,25.4,209,6.934306569343065,279,9.256801592568015,428,14.200398142003982,459,15.228931652289315,419,13.901791639017915,264,8.75912408759124,114,3.78234903782349,159,5.2753815527538155,490,16.257465162574654,3014
"Auburn, NY Micro Area",12180,29.4,334,3.795023292807635,840,9.544369957959322,1140,12.953073514373367,906,10.294284740370413,894,10.157936598113851,824,9.362572434950573,405,4.6017498011589595,1004,11.407794568799,1680,19.088739915918644,8801
"Auburn-Opelika, AL Metro Area",12220,34.8,897,3.47647469188435,2051,7.948996201844818,2321,8.995426711107667,2436,9.441128594682583,1820,7.053716766142159,1746,6.7669172932330826,1409,5.460816990930936,1654,6.41035578637315,8092,31.361909929462833,25802
"Augusta-Richmond County, GA-SC Metro Area",12260,31.5,3168,4.427239822798608,5615,7.846891289461548,7339,10.256159425353214,8105,11.32663471079,6505,9.090655002305855,6177,8.632279162066604,3691,5.1581256900093635,6411,8.95929119443241,18096,25.288930502955687,71557
"Augusta-Waterville, ME Micro Area",12300,29.0,466,3.1713624608683815,1049,7.138968286375391,1506,10.249081257656186,1807,12.29753640941881,2075,14.121410099360283,1368,9.309922417313189,901,6.131754457601742,1068,7.26827276439363,2773,18.87164829181979,14694
"Austin, MN Micro Area",12380,27.2,160,4.289544235924933,519,13.914209115281501,302,8.096514745308312,576,15.44235924932976,425,11.394101876675604,234,6.273458445040214,222,5.951742627345844,252,6.756032171581769,791,21.206434316353885,3730
"Austin-Round Rock-San Marcos, TX Metro Area",12420,29.4,13239,3.3947111328781068,29658,7.604829879817123,49875,12.788822248832659,55046,14.114757082892082,45605,11.693919572090493,35043,8.985638056458003,26225,6.724548641115518,33937,8.702040313957573,86781,22.25216608673578,389989
"Bainbridge, GA Micro Area",12460,27.6,264,6.606606606606606,411,10.285285285285285,252,6.306306306306306,364,9.10910910910911,638,15.965965965965967,176,4.404404404404405,170,4.2542542542542545,189,4.72972972972973,770,19.26926926926927,3996
"Baker City, OR Micro Area",12520,26.1,231,11.684370257966616,147,7.435508345978755,235,11.886697015680324,159,8.042488619119878,120,6.0698027314112295,66,3.338391502276176,61,3.0854830551340413,67,3.388973191704603,513,25.948406676783005,1977
"Bakersfield-Delano, CA Metro Area",12540,33.2,3159,2.7932269331093327,8162,7.216941509350545,11774,10.410716654140325,12083,10.68393828197533,11631,10.2842742826827,9418,8.327512268446881,8432,7.455678854060746,11499,10.167558247491048,29487,26.07277067951722,113095
"Baltimore-Columbia-Towson, MD Metro Area",12580,30.7,14156,3.858303556584,28388,7.73732137357351,42294,11.527485915665704,44022,11.998462783833066,40972,11.167166807033038,30994,8.44760246063609,23491,6.402614357708021,33916,9.244011262016315,89759,24.464359207079916,366897
"Bangor, ME Metro Area",12620,29.2,587,3.0495090654059953,1339,6.956205517169724,2609,13.55395085458985,2123,11.029144371136162,2708,14.06826328640449,1704,8.852407917294405,1468,7.626370201049405,1789,9.293989298145359,3521,18.291859317367138,19249
"Baraboo, WI Micro Area",12660,26.1,495,6.715506715506716,1006,13.648080314746982,865,11.735178401845069,848,11.504544837878171,1011,13.715913715913716,551,7.475240808574142,435,5.901505901505902,500,6.78334011667345,1173,15.913715913715915,7371
"Barnstable Town, MA Metro Area",12700,34.5,760,3.79487691616318,1693,8.453587656663505,1431,7.145353772407251,1596,7.969241523942677,1866,9.31742148100065,1763,8.803115793678534,1375,6.865731262795226,1704,8.508513506765865,5694,28.43161731662256,20027
"Barre, VT Micro Area",12740,28.3,330,4.808392831123416,686,9.995628733789887,930,13.550925251347806,739,10.767885764243042,901,13.128369517703629,750,10.92816552528049,357,5.201806790033513,482,7.023167710913595,1380,20.1078245665161,6863
"Bartlesville, OK Micro Area",12780,30.0,309,5.324831983456833,404,6.961916250215405,751,12.941581940375668,571,9.839738066517318,612,10.546269171118388,544,9.374461485438566,384,6.617266930897811,556,9.581251077029123,1154,19.886265724625193,5803
"Batavia, NY Micro Area",12860,27.3,458,7.169693174702567,392,6.136505948653726,1031,16.13963681903569,822,12.867877269881026,587,9.189104571070757,622,9.73700688791484,322,5.04070131496556,485,7.592360676268002,1225,19.176581089542893,6388
"Batesville, AR Micro Area",12900,26.3,453,9.640349010427752,458,9.746754628644393,641,13.641200255373484,437,9.299851032134496,388,8.257075973611407,385,8.193232602681421,197,4.192381357735688,322,6.852521813151734,893,19.004043413492234,4699
"Baton Rouge, LA Metro Area",12940,32.3,4493,4.4646051114909175,8054,8.003100282205175,9330,9.271036209706269,9321,9.26209308796057,9296,9.237251083111412,7763,7.71393934576096,5897,5.859732103819707,8271,8.218728884295878,25850,25.686633014030765,100636
"Battle Creek, MI Metro Area",12980,29.1,576,3.9077340569877883,1192,8.086838534599728,2015,13.670284938941654,1761,11.94708276797829,1669,11.322930800542741,1548,10.50203527815468,599,4.063772048846675,1314,8.914518317503392,3175,21.54002713704206,14740
"Bay City, MI Metro Area",13020,27.9,696,6.554906762102091,1220,11.489922772650218,1109,10.444528159728762,917,8.63627801845922,1623,15.2853644754191,836,7.873422490111132,519,4.887926163119231,766,7.214164626106612,2088,19.664720286306274,10618
"Bay City, TX Micro Area",13060,33.8,186,4.014677314914742,234,5.050723073602417,677,14.612562054824089,397,8.56896179581265,294,6.345780271962012,309,6.669544571551911,338,7.295488884092381,299,6.453701705158645,1313,28.340168357435786,4633
"Beatrice, NE Micro Area",13100,25.7,305,12.007874015748031,254,10.0,385,15.157480314960631,155,6.102362204724409,364,14.330708661417324,160,6.299212598425196,169,6.653543307086614,157,6.181102362204725,350,13.779527559055119,2540
"Beaumont-Port Arthur, TX Metro Area",13140,29.8,2419,5.093167701863354,3801,8.00294767870302,5776,12.161280134751026,4999,10.525318454574165,4482,9.436782819244131,3368,7.091272765554269,2638,5.5542688704074115,4003,8.428255605853249,11197,23.57511316980735,47495
"Beaver Dam, WI Micro Area",13180,23.0,599,5.834226161488263,1604,15.622869387357555,1757,17.113080744131683,1514,14.746274471608064,778,7.577676049478913,683,6.652381416187786,524,5.103730398363689,851,8.288691925586832,1408,13.713840459725334,10267
"Beckley, WV Metro Area",13220,31.0,427,3.7844544890543292,843,7.471417176282904,1141,10.112558716653371,735,6.5142249401754855,1052,9.323761410972258,778,6.895329256403439,553,4.901178764512984,602,5.33546042719135,2576,22.830807409376938,11283
"Bedford, IN Micro Area",13260,27.7,183,4.771838331160365,354,9.230769230769232,418,10.899608865710562,558,14.55019556714472,305,7.953063885267275,452,11.786179921773142,183,4.771838331160365,236,6.153846153846154,669,17.44458930899609,3835
"Beeville, TX Micro Area",13300,30.5,146,6.101128290848307,75,3.134141245298788,244,10.19640618470539,298,12.452987881320517,249,10.405348934391977,188,7.856247388215628,52,2.173004596740493,140,5.850396991224405,666,27.831174258253238,2393
"Bellefontaine, OH Micro Area",13340,24.4,242,5.54410080183276,612,14.02061855670103,717,16.42611683848797,411,9.415807560137457,383,8.774341351660938,225,5.154639175257731,213,4.879725085910653,342,7.835051546391752,723,16.56357388316151,4365
"Bellingham, WA Metro Area",13380,34.6,815,2.418182357653621,1763,5.2309883393169745,3531,10.47681215322078,3784,11.227487167314482,3466,10.283950983591964,3021,8.963593745363914,2886,8.56303593151945,3463,10.275049698839867,9561,28.368394504940213,33703
"Bemidji, MN Micro Area",13420,26.2,298,5.4508871410279855,505,9.237241631607828,789,14.432046826413023,770,14.084507042253522,684,12.51143222974209,469,8.578745198463508,169,3.0912749222608378,290,5.304554600329248,1087,19.882933967441012,5467
"Bend, OR Metro Area",13460,29.9,1135,3.859231553893234,2038,6.9296157769466165,3629,12.339340360421627,3288,11.179870792247534,3578,12.165929955797347,2736,9.30295817749065,1623,5.518531111866712,2497,8.490309418565115,6686,22.733764025841552,29410
"Bennington, VT Micro Area",13540,35.7,155,4.351487928130264,152,4.267265581134194,320,8.983717012914093,304,8.534531162268388,287,8.057271195957327,430,12.071869736103313,224,6.288601909039865,298,8.366086468276249,1191,33.43627175743964,3562
"Big Rapids, MI Micro Area",13660,31.6,89,2.2652074319165183,348,8.857215576482567,337,8.577246118605244,441,11.224230083990836,347,8.831763807584627,412,10.486128785950624,273,6.948332909137185,163,4.14863833036396,981,24.968185288877574,3929
"Big Spring, TX Micro Area",13700,25.8,225,6.014434643143544,416,11.120021384656509,706,18.871959369152634,247,6.602512697139802,292,7.805399625768511,326,8.714247527399092,163,4.357123763699546,224,5.987703822507351,680,18.1769580326116,3741
"Billings, MT Metro Area",13740,28.7,1502,6.467168998923574,1761,7.582346609257266,3168,13.640473627556512,2539,10.932185145317545,2810,12.099031216361679,2159,9.296017222820236,1444,6.217438105489774,2236,9.627556512378902,4441,19.1216361679225,23225
"Binghamton, NY Metro Area",13780,30.4,1588,4.758195002097441,3503,10.496194642536107,3534,10.589081320788637,3491,10.460238509018998,3113,9.32762030323006,2373,7.11032540300833,1692,5.0698148259123865,2769,8.29687780907293,8733,26.16707616707617,33374
"Birmingham, AL Metro Area",13820,30.6,5788,4.271366054890153,10198,7.525810474735622,15469,11.415646424169969,13497,9.960371050942017,14597,10.772137232762883,10752,7.934645442670858,8083,5.965005497870958,10675,7.877821809943397,32690,24.124214985203714,135507
"Bishop, CA Micro Area",13860,22.5,457,17.529727656309934,277,10.62523973916379,355,13.617184503260452,157,6.022247794399693,287,11.008822401227466,266,10.203298810893747,133,5.1016494054468735,125,4.794783275795933,279,10.701956271576526,2607
"Bismarck, ND Metro Area",13900,25.0,934,6.269297892334541,1717,11.525036917707075,2361,15.84776480064438,2103,14.115988723318566,1095,7.349979863068869,969,6.504228755537655,820,5.504094509330112,1070,7.182172103638072,3122,20.955832997717813,14898
"Blackfoot, ID Micro Area",13940,26.3,305,9.838709677419356,292,9.419354838709678,310,10.0,316,10.193548387096774,461,14.870967741935484,220,7.096774193548387,76,2.4516129032258065,304,9.806451612903226,408,13.161290322580646,3100
"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,29.3,1196,4.550643025644928,2958,11.254851228978008,3025,11.509778555665475,1970,7.495624381706111,2528,9.618750475610684,1409,5.361083631382695,961,3.6564949395023207,1779,6.768891256373183,6827,25.975953123810974,26282
"Bloomington, IL Metro Area",14010,26.9,1140,4.744859735286773,2860,11.903770914842255,2736,11.387663364688255,2997,12.473986514609173,2070,8.615666361441772,1272,5.294264546741031,1492,6.209939232498127,1528,6.359776908349287,4973,20.69841005577291,24026
"Bloomington, IN Metro Area",14020,35.0,798,2.853873113511194,1856,6.637579572276661,3225,11.533509763250125,2713,9.702453329518633,2250,8.0466347185466,1948,6.966597525212789,1403,5.017523782275946,2490,8.904942421858236,8861,31.68943566268507,27962
"Bloomsburg-Berwick, PA Micro Area",14100,27.8,176,2.300052273915316,892,11.657083115525353,911,11.905384213277575,800,10.454783063251437,967,12.637219027705173,732,9.566126502875065,493,6.4427600627286985,285,3.7245164662833243,1389,18.152117093570308,7652
"Bluefield, WV-VA Micro Area",14140,29.6,601,5.142465987849747,825,7.059125524086592,1018,8.710533070933515,1090,9.326602207581074,1286,11.003679301788312,1115,9.540515102250364,959,8.20569863951399,681,5.826987250791478,1850,15.82955420552751,11687
"Blytheville, AR Micro Area",14180,25.0,491,7.867328953693319,533,8.540298029161992,806,12.91459701970838,847,13.57154302195161,270,4.326229770870053,439,7.034129145970197,274,4.390322063771832,423,6.777759974363083,1276,20.445441435667362,6241
"Bogalusa, LA Micro Area",14220,34.2,175,3.2383419689119166,209,3.8675055514433754,353,6.53219837157661,317,5.866025166543301,402,7.438934122871947,590,10.917838638045891,471,8.715766099185789,534,9.88156920799408,854,15.803108808290157,5404
"Boise City, ID Metro Area",14260,28.7,2606,3.241979025415822,6419,7.9855193262256945,11282,14.035305972655909,11156,13.878556411181469,8722,10.850552977619646,8123,10.105370538546708,5545,6.898224749014095,6861,8.535386835524925,15056,18.730328552057028,80383
"Bonham, TX Micro Area",14300,25.2,87,2.77511961722488,361,11.515151515151516,434,13.843700159489632,431,13.748006379585325,312,9.952153110047847,123,3.923444976076555,82,2.615629984051037,141,4.497607655502392,679,21.658692185007975,3135
"Boone, NC Micro Area",14380,47.1,154,1.872340425531915,417,5.069908814589666,771,9.373860182370821,812,9.872340425531915,391,4.753799392097265,435,5.288753799392097,254,3.0881458966565347,553,6.723404255319148,3471,42.20060790273556,8225
"Borger, TX Micro Area",14420,26.0,104,7.8431372549019605,144,10.85972850678733,121,9.125188536953242,132,9.95475113122172,103,7.7677224736048265,33,2.48868778280543,128,9.653092006033184,58,4.374057315233785,222,16.7420814479638,1326
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,30.2,29910,4.0619050076457786,55201,7.49653020150634,83904,11.394519483835222,89942,12.2145055231587,87508,11.883957987598356,66737,9.063167987136623,47750,6.484652762122566,60412,8.204206129117244,178174,24.19678578509793,736354
"Boulder, CO Metro Area",14500,34.8,1226,2.4148594614824006,3363,6.624121018731903,5478,10.79004904567748,4727,9.310799897575292,4725,9.30686048572948,4894,9.639740786700546,3035,5.97805747601883,4633,9.125647540822156,16434,32.37014713703244,50769
"Bowling Green, KY Metro Area",14540,28.3,1267,4.629494299912306,2794,10.209003215434084,3287,12.01037708272435,3052,11.151710026308097,3223,11.77652733118971,1960,7.16164864074832,1840,6.723180356620871,1627,5.94489915229465,6051,22.10976322712657,27368
"Bozeman, MT Metro Area",14580,29.4,1124,5.838657732065867,1845,9.583917718560075,2365,12.28507609994286,2105,10.934496909251468,1950,10.129343930185444,1855,9.635863072048204,1350,7.012622720897616,1325,6.88275933717729,4368,22.689730403615396,19251
"Bradford, PA Micro Area",14620,26.8,313,9.069834830483918,443,12.836858881483629,292,8.461315560707042,302,8.751086641553172,402,11.64879745001449,326,9.44653723558389,110,3.187481889307447,242,7.012460156476384,565,16.372066067806433,3451
"Brainerd, MN Micro Area",14660,27.6,503,5.959715639810426,859,10.177725118483412,1010,11.966824644549764,943,11.172985781990521,971,11.504739336492891,864,10.23696682464455,585,6.93127962085308,466,5.521327014218009,1438,17.03791469194313,8440
"Branson, MO Micro Area",14700,26.7,375,5.116659844453541,427,5.826170009551098,1351,18.433619866284623,974,13.28967116932733,762,10.397052803929595,590,8.050211488606903,448,6.112702960840497,442,6.03083640332924,1388,18.938463637604038,7329
