NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Chambersburg, PA Metro Area",156626,74946,1071,,16540,,,,,
"Champaign-Urbana, IL Metro Area",236196,64558,1008,,16580,,,,,
"Charleston, WV Metro Area",207456,58089,872,,16620,,,,,
"Charleston-Mattoon, IL Micro Area",46689,56040,793,,16660,,,,,
"Charleston-North Charleston, SC Metro Area",817756,82272,1488,,16700,,,,,
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2712818,80201,1377,,16740,,,,,
"Charlottesville, VA Metro Area",222937,90552,1528,,16820,,,,,
"Chattanooga, TN-GA Metro Area",569333,68666,1084,,16860,,,,,
"Cheyenne, WY Metro Area",100661,77884,1080,,16940,,,,,
"Chicago-Naperville-Elgin, IL-IN Metro Area",9359555,88850,1378,,16980,,,,,
"Chico, CA Metro Area",209470,68574,1369,,17020,,,,,
"Chillicothe, OH Micro Area",76748,59819,858,,17060,,,,,
"Cincinnati, OH-KY-IN Metro Area",2255257,79490,1047,,17140,,,,,
"Clarksburg, WV Micro Area",89717,58376,828,,17220,,,,,
"Clarksdale, MS Micro Area",20808,36259,719,,17260,,,,,
"Clarksville, TN-KY Metro Area",328626,66210,1141,,17300,,,,,
"Clearlake, CA Micro Area",68139,58738,1292,,17340,,,,,
"Cleveland, MS Micro Area",30163,37315,671,,17380,,,,,
"Cleveland, OH Metro Area",2171978,68507,996,,17410,,,,,
"Cleveland, TN Metro Area",127445,63490,939,,17420,,,,,
"Clewiston, FL Micro Area",53122,48979,950,,17500,,,,,
"Clinton, IA Micro Area",46383,65177,825,,17540,,,,,
"Clovis, NM Micro Area",66934,55193,954,,17580,,,,,
"Coamo, PR Micro Area",54358,21780,513,,17620,,,,,
"Coco, PR Micro Area",25397,21611,509,,17640,,,,,
"Cody, WY Micro Area",30109,70533,933,,17650,,,,,
"Coeur d'Alene, ID Metro Area",177736,77034,1330,,17660,,,,,
"Coldwater, MI Micro Area",44914,61958,900,,17740,,,,,
"College Station-Bryan, TX Metro Area",273280,59691,1146,,17780,,,,,
"Colorado Springs, CO Metro Area",760782,87180,1611,,17820,,,,,
"Columbia, MO Metro Area",212850,69463,1041,,17860,,,,,
"Columbia, SC Metro Area",839868,66146,1145,,17900,,,,,
"Columbus, GA-AL Metro Area",326136,57762,1030,,17980,,,,,
"Columbus, IN Metro Area",82881,80365,1110,,18020,,,,,
"Columbus, MS Micro Area",68323,51587,887,,18060,,,,,
"Columbus, NE Micro Area",44899,75501,877,,18100,,,,,
"Columbus, OH Metro Area",2151847,79847,1208,,18140,,,,,
"Concord, NH Micro Area",155018,93944,1293,,18180,,,,,
"Connersville, IN Micro Area",23390,56659,779,,18220,,,,,
"Cookeville, TN Micro Area",143819,53328,867,,18260,,,,,
"Coos Bay-North Bend, OR Micro Area",64832,60313,992,,18300,,,,,
"Corbin, KY Micro Area",149625,45067,735,,18340,,,,,
"Cordele, GA Micro Area",19995,42745,743,,18380,,,,,
"Corinth, MS Micro Area",34500,49404,728,,18420,,,,,
"Cornelia, GA Micro Area",46948,65622,939,,18460,,,,,
"Corning, NY Micro Area",93034,64740,878,,18500,,,,,
"Corpus Christi, TX Metro Area",446797,65801,1224,,18580,,,,,
"Corsicana, TX Micro Area",53735,59310,1039,,18620,,,,,
"Cortland, NY Micro Area",46401,67527,911,,18660,,,,,
"Corvallis, OR Metro Area",96359,76011,1359,,18700,,,,,
"Coshocton, OH Micro Area",36679,54687,723,,18740,,,,,
"Crawfordsville, IN Micro Area",38155,66571,827,,18820,,,,,
"Crescent City, CA Micro Area",27293,66780,1182,,18860,,,,,
"Crestview-Fort Walton Beach-Destin, FL Metro Area",294127,79150,1506,,18880,,,,,
"Crossville, TN Micro Area",62529,58475,829,,18900,,,,,
"Cullman, AL Micro Area",89463,60916,883,,18980,,,,,
"Cumberland, MD-WV Micro Area",94684,59413,774,,19060,,,,,
"Dallas-Fort Worth-Arlington, TX Metro Area",7807555,87155,1509,,19100,,,,,
"Dalton, GA Metro Area",143400,65715,878,,19140,,,,,
"Danville, IL Micro Area",73179,54537,802,,19180,,,,,
"Danville, KY Micro Area",55123,56209,761,,19220,,,,,
"Danville, VA Micro Area",102387,48994,827,,19260,,,,,
"Daphne-Fairhope-Foley, AL Metro Area",239945,75019,1211,,19300,,,,,
"Davenport-Moline-Rock Island, IA-IL Metro Area",381864,71925,899,,19340,,,,,
"Dayton-Kettering-Beavercreek, OH Metro Area",813608,69752,984,,19430,,,,,
"Decatur, AL Metro Area",156924,63987,816,,19460,,,,,
