NAME,population,median_income,median_rent,median_age,metropolitan statistical area/micropolitan statistical area,unemployment_rate,bachelors_plus_percent,edu_less_than_hs,edu_high_school_grad,edu_some_college
"Springfield, MO Metro Area",481671,61488,927,,44180,,,,,
"Springfield, OH Metro Area",135445,60846,840,,44220,,,,,
"Starkville, MS Micro Area",61415,46930,857,,44260,,,,,
"State College, PA Metro Area",158041,72748,1181,,44300,,,,,
"Statesboro, GA Micro Area",92112,56172,948,,44340,,,,,
"Staunton-Stuarts Draft, VA Metro Area",126052,70949,1013,,44420,,,,,
"Steamboat Springs, CO Micro Area",38248,93984,1532,,44460,,,,,
"Stephenville, TX Micro Area",43244,65351,1134,,44500,,,,,
"Sterling, CO Micro Area",21067,55074,1027,,44540,,,,,
"Sterling, IL Micro Area",55192,64536,808,,44580,,,,,
"Stevens Point-Plover, WI Micro Area",70375,73284,903,,44620,,,,,
"Stillwater, OK Micro Area",82290,48937,922,,44660,,,,,
"Stockton-Lodi, CA Metro Area",787416,88531,1633,,44700,,,,,
"Storm Lake, IA Micro Area",20684,66564,835,,44740,,,,,
"Sturgis, MI Micro Area",60870,64707,825,,44780,,,,,
"Sulphur Springs, TX Micro Area",37351,64725,1038,,44860,,,,,
"Summerville, GA Micro Area",24975,47785,789,,44900,,,,,
"Sumter, SC Metro Area",104853,55990,1006,,44940,,,,,
"Sunbury, PA Micro Area",109004,59922,821,,44980,,,,,
"Susanville, CA Micro Area",31177,64395,1043,,45000,,,,,
"Sweetwater, TX Micro Area",14565,50160,866,,45020,,,,,
"Syracuse, NY Metro Area",657128,73558,1036,,45060,,,,,
"Tahlequah, OK Micro Area",47621,53668,803,,45140,,,,,
"Talladega-Sylacauga, AL Micro Area",91493,56331,767,,45180,,,,,
"Tallahassee, FL Metro Area",388298,63078,1197,,45220,,,,,
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3240469,71254,1497,,45300,,,,,
"Taos, NM Micro Area",34516,58908,1069,,45340,,,,,
"Taylorville, IL Micro Area",33684,59253,729,,45380,,,,,
"Terre Haute, IN Metro Area",168850,55380,857,,45460,,,,,
"Texarkana, TX-AR Metro Area",146868,55046,933,,45500,,,,,
"The Dalles, OR Micro Area",26603,63602,978,,45520,,,,,
"Thomaston, GA Micro Area",27856,50904,779,,45580,,,,,
"Thomasville, GA Micro Area",71752,58186,932,,45620,,,,,
"Tiffin, OH Micro Area",54861,65020,814,,45660,,,,,
"Tifton, GA Micro Area",50237,50810,763,,45700,,,,,
"Toccoa, GA Micro Area",26842,52264,817,,45740,,,,,
"Toledo, OH Metro Area",602977,63749,917,,45780,,,,,
"Topeka, KS Metro Area",232724,68160,947,,45820,,,,,
"Torrington, CT Micro Area",112848,91035,1169,,45860,,,,,
"Town of Pecos, TX Micro Area",13219,56056,988,,45880,,,,,
"Traverse City, MI Metro Area",154657,77495,1154,,45900,,,,,
"Trenton-Princeton, NJ Metro Area",383286,96333,1515,,45940,,,,,
"Troy, AL Micro Area",32953,47961,855,,45980,,,,,
"Truckee-Grass Valley, CA Micro Area",102452,84905,1635,,46020,,,,,
"Tucson, AZ Metro Area",1049947,67929,1154,,46060,,,,,
"Tullahoma-Manchester, TN Micro Area",65551,61256,872,,46100,,,,,
"Tulsa, OK Metro Area",1026209,67823,1034,,46140,,,,,
"Tupelo, MS Micro Area",132079,63188,873,,46180,,,,,
"Tuscaloosa, AL Metro Area",275217,59975,966,,46220,,,,,
"Twin Falls, ID Metro Area",116909,66473,981,,46300,,,,,
"Tyler, TX Metro Area",238014,71923,1197,,46340,,,,,
"Ukiah, CA Micro Area",90709,64688,1325,,46380,,,,,
"Union City, TN Micro Area",30570,53102,770,,46460,,,,,
"Urbana, OH Micro Area",38772,74239,884,,46500,,,,,
"Urban Honolulu, HI Metro Area",1003666,104264,2054,,46520,,,,,
"Utica-Rome, NY Metro Area",289577,68830,896,,46540,,,,,
"Utuado, PR Micro Area",27896,17624,466,,46580,,,,,
"Uvalde, TX Micro Area",24810,57849,966,,46620,,,,,
"Valdosta, GA Metro Area",149139,54581,976,,46660,,,,,
"Vallejo, CA Metro Area",450824,99994,2088,,46700,,,,,
"Van Wert, OH Micro Area",28824,65344,792,,46780,,,,,
"Vermillion, SD Micro Area",15133,58794,736,,46820,,,,,
"Vernal, UT Micro Area",36458,69861,914,,46860,,,,,
"Vernon, TX Micro Area",12712,51626,862,,46900,,,,,
"Vicksburg, MS Micro Area",43623,56648,889,,46980,,,,,
"Victoria, TX Metro Area",98377,69618,1143,,47020,,,,,
"Vidalia, GA Micro Area",35618,53809,719,,47080,,,,,
"Vincennes, IN Micro Area",36108,58863,782,,47180,,,,,
"Vineland, NJ Metro Area",152915,64499,1254,,47220,,,,,
"Vineyard Haven, MA Micro Area",20751,102348,1371,,47240,,,,,
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",1782590,80533,1416,,47260,,,,,
"Visalia, CA Metro Area",475774,69489,1206,,47300,,,,,
"Wabash, IN Micro Area",30901,68414,752,,47340,,,,,
"Waco, TX Metro Area",299217,63880,1094,,47380,,,,,
"Wahpeton, ND-MN Micro Area",22963,70762,726,,47420,,,,,
"Walla Walla, WA Metro Area",62102,72212,1113,,47460,,,,,
"Wapakoneta, OH Micro Area",46209,76454,853,,47540,,,,,
"Warner Robins, GA Metro Area",195171,78702,1112,,47580,,,,,
"Warren, PA Micro Area",38174,59013,756,,47620,,,,,
"Warrensburg, MO Micro Area",54331,67123,905,,47660,,,,,
"Warsaw, IN Micro Area",80357,73922,995,,47700,,,,,
"Washington, IN Micro Area",33442,68561,837,,47780,,,,,
"Washington, NC Micro Area",44597,57997,859,,47820,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6263796,123896,1975,,47900,,,,,
"Washington Court House, OH Micro Area",28880,60047,807,,47920,,,,,
"Waterbury-Shelton, CT Metro Area",452303,86365,1288,,47930,,,,,
"Waterloo-Cedar Falls, IA Metro Area",168163,68916,947,,47940,,,,,
"Watertown, SD Micro Area",28556,65080,901,,47980,,,,,
"Watertown-Fort Atkinson, WI Micro Area",85867,80604,1012,,48020,,,,,
"Watertown-Fort Drum, NY Metro Area",116130,64978,1214,,48060,,,,,
"Wausau, WI Metro Area",138067,76185,950,,48140,,,,,
"Waycross, GA Micro Area",55954,49037,786,,48180,,,,,
"Waynesville, NC Micro Area",62432,61001,1052,,48200,,,,,
"Weatherford, OK Micro Area",39189,59108,778,,48220,,,,,
"Weirton-Steubenville, WV-OH Metro Area",115566,57149,758,,48260,,,,,
"Wenatchee-East Wenatchee, WA Metro Area",123251,79007,1198,,48300,,,,,
"West Plains, MO Micro Area",40168,49814,722,,48460,,,,,
"Wheeling, WV-OH Metro Area",138015,58705,801,,48540,,,,,
"Whitewater-Elkhorn, WI Micro Area",105447,77359,1090,,48580,,,,,
"Wichita, KS Metro Area",648935,68930,969,,48620,,,,,
"Wichita Falls, TX Metro Area",148978,63618,963,,48660,,,,,
"Wildwood-The Villages, FL Metro Area",137536,73297,1225,,48680,,,,,
"Williamsport, PA Metro Area",113570,64412,887,,48700,,,,,
"Williston, ND Micro Area",39368,90224,1108,,48780,,,,,
"Willmar, MN Micro Area",43757,75097,843,,48820,,,,,
"Wilmington, NC Metro Area",440578,73687,1313,,48900,,,,,
"Wilmington, OH Micro Area",42014,68125,893,,48940,,,,,
"Wilson, NC Micro Area",78648,51381,915,,48980,,,,,
"Winchester, TN Micro Area",43478,61553,863,,49010,,,,,
"Winchester, VA-WV Metro Area",144676,82413,1309,,49020,,,,,
"Winnemucca, NV Micro Area",17299,79946,998,,49080,,,,,
"Winona, MN Micro Area",49705,70198,866,,49100,,,,,
"Winston-Salem, NC Metro Area",683637,64282,973,,49180,,,,,
"Wisconsin Rapids-Marshfield, WI Micro Area",74039,66417,831,,49220,,,,,
"Woodward, OK Micro Area",20260,65060,847,,49260,,,,,
"Wooster, OH Micro Area",116618,71769,849,,49300,,,,,
"Worcester, MA Metro Area",861664,93561,1347,,49340,,,,,
"Worthington, MN Micro Area",22067,65509,863,,49380,,,,,
"Yakima, WA Metro Area",256605,68015,1068,,49420,,,,,
"Yankton, SD Micro Area",23379,73855,777,,49460,,,,,
"York-Hanover, PA Metro Area",459312,82238,1150,,49620,,,,,
"Youngstown-Warren, OH Metro Area",428430,55357,779,,49660,,,,,
"Yuba City, CA Metro Area",182050,74762,1306,,49700,,,,,
"Yuma, AZ Metro Area",207685,60417,983,,49740,,,,,
"Zanesville, OH Micro Area",86382,59203,811,,49780,,,,,
"Zapata, TX Micro Area",13855,36527,569,,49820,,,,,
